Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,
plashed,7,3,"11,777","1,962.83","2,354",810.185,138.924,-0.214,27,0.818,0.697116497
mantos,6,1,"10,392","2,078.40","2,195",885.37,252.488,-0.327,27,0.794,0.671326808
favoting,8,1,"17,563","2,509.00","2,922",826.133,433.072,0.042,30,0.938,0.549716678
smabled,7,1,"12,293","2,048.83","1,927",801.912,285.838,-0.086,34,0.971,0.874145271
tunneg,6,1,"5,670","1,134.00",911,750.118,264.464,0.143,34,1,0.297573501
ralliep,7,2,"12,466","2,077.67","2,112",751.029,242.685,0.194,34,1,0.93612199
pexts,5,3,"3,397",849.25,663,705.576,148.72,0.173,33,1,0.192571546
fashing,7,5,"15,075","2,512.50","2,806","1,007.76",495.305,-0.542,21,0.625,0.095218992
brongs,6,3,"11,516","2,303.20","1,509",749.536,184.361,0.205,28,0.848,0.536215983
ugifies,7,1,"7,938","1,323.00","1,137",797.156,306.814,-0.052,32,1,0.227060691
batire,6,1,"15,086","3,017.20","1,835",832.5,252.788,-0.064,30,0.909,0.591706045
rangel,6,3,"13,457","2,691.40","1,863",780.267,240.439,-0.252,30,0.882,0.839306232
rillains,8,1,"17,612","2,516.00","2,564",733.879,223.1,0.105,33,1,0.651905881
daining,7,5,"20,680","3,446.67","2,967",834.409,301.521,-0.062,22,0.667,0.410366373
pallir,6,2,"9,336","1,867.20","2,197",783.594,257.637,0.127,32,1,0.817084115
frunted,7,2,"14,796","2,466.00","2,499",798.393,209.806,-0.01,28,0.824,0.052961086
crundle,7,1,"8,806","1,467.67","1,630","1,075.25",524.773,-0.541,24,0.686,0.139688242
tibs,4,7,"5,395","1,798.33",356,785.958,215.22,-0.226,24,0.75,0.469695959
farochial,9,1,"12,972","1,621.50","2,332",769.871,327.399,0.115,31,0.969,0.299859698
chiffol,7,1,"5,397",899.5,"1,144",757.939,219.879,0.003,33,0.943,0.734554425
theery,6,2,"10,738","2,147.60","2,322",754.645,309.093,0.002,31,0.886,0.200241023
donastic,8,2,"18,707","2,672.43","3,114",787.607,230.194,-0.053,28,0.875,0.658363175
dredigest,9,1,"21,383","2,672.88","2,435",843.765,258.095,-0.143,34,1,0.027791649
adok,4,1,"1,868",622.667,362,636.676,144.912,0.382,34,1,0.276085157
ronvince,8,1,"17,672","2,524.57","2,999",811.818,414.475,-0.029,33,0.971,0.943399564
dricked,7,2,"11,887","1,981.17","2,210",811.385,269.844,0.022,26,0.765,0.562631371
ifkling,7,1,"14,218","2,369.67","2,312",687.909,217.604,0.322,33,0.971,0.539762321
peags,5,3,"4,535","1,133.75","1,372",760.29,341.196,0.147,31,0.969,0.958521951
ausht,5,1,"3,567",891.75,678,772.727,432.683,0.063,33,1,0.735139275
shurk,5,3,"3,209",802.25,747,843.154,252.011,-0.204,26,0.765,0.372703651
sopes,5,6,"7,685","1,921.25","1,290",913.938,396.158,-0.301,32,0.941,0.921319386
nearsipe,8,1,"12,411","1,773.00","1,860",995.111,366.346,-0.645,27,0.818,0.705925944
athcan,6,1,"10,803","2,160.60",643,762.581,256.385,0.078,31,0.939,0.097456
gradielts,9,1,"11,150","1,393.75","2,176",846.8,266.499,-0.194,30,0.882,0.071565862
imprives,8,1,"13,260","1,894.29","2,058",944.5,291.682,-0.398,26,0.788,0.401528271
mustled,7,3,"13,710","2,285.00","2,930","1,013.00",432,-0.837,18,0.567,0.856929057
erithets,8,1,"16,645","2,377.86","1,827",756.303,240.831,0.064,33,1,0.730817993
gunrunker,9,1,"12,186","1,523.25","1,082","1,024.77",444.123,-0.684,26,0.839,0.030321307
airbis,6,1,"5,365","1,073.00",834,775.375,223.727,-0.08,32,0.941,0.225997968
tenpince,8,1,"19,037","2,719.57","2,491",868.161,337.498,-0.241,31,0.939,0.583280496
ludictous,9,1,"10,755","1,344.38","1,501","1,041.38",341.095,-0.81,21,0.677,0.429442913
vintnel,7,1,"14,763","2,460.50","1,652",679.724,205.698,0.35,29,0.906,0.774342503
plartly,7,0,"8,728","1,454.67","1,668",938.519,372.182,-0.48,27,0.818,0.87303376
oginous,7,1,"11,921","1,986.83",885,841.793,354.715,-0.321,29,0.906,0.402828516
noils,5,4,"2,996",749,711,796.433,229.558,0.079,30,0.909,0.151681934
nelvet,6,1,"7,371","1,474.20","1,371",735.147,147.223,0.207,34,1,0.686035166
quittint,8,1,"18,517","2,645.29","2,551",887.7,366.645,-0.321,30,0.938,0.001371707
lasprey,7,1,"10,422","1,737.00","1,352",824.1,355.138,-0.01,30,0.909,0.527782531
fassed,6,3,"9,967","1,993.40","2,021",731.926,223.819,0.026,27,0.771,0.277939219
seartfelt,9,1,"10,562","1,320.25","2,027",829.818,193.008,-0.213,33,0.971,0.424433162
podges,6,1,"7,448","1,489.60","1,633",705.88,225.854,0.171,25,0.781,0.464425014
graciap,7,1,"8,301","1,383.50","1,799",763.375,252.329,0.098,32,0.941,0.250735056
cemoir,6,1,"4,766",953.2,708,773.824,299.072,0.039,34,1,0.722302657
puyer,5,1,"6,753","1,688.25","1,595",738.931,177.784,0.054,29,0.935,0.619231582
smolvers,8,1,"12,427","1,775.29","1,564",760.176,275.563,0.208,34,0.971,0.78601428
joadbed,7,1,"7,010","1,168.33","1,452",756.906,241.635,-0.01,32,0.97,0.628183642
chonemic,8,1,"14,267","2,038.14","1,922",954.6,404.589,-0.472,30,0.882,0.865635169
