Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,
naxis,5,2,"4,425","1,106.25",631,721.034,213.802,0.035,29,0.879,0.239075167
halms,5,5,"4,511","1,127.75","1,024",788.879,253.4,-0.053,33,1,0.499636724
pimorous,8,1,"10,711","1,530.14","1,427",809.483,364.674,-0.008,29,0.879,0.217643813
brouhuha,8,1,"5,842",834.571,"1,361",716.619,230.659,0.39,21,0.75,0.824173282
asclibed,8,1,"11,393","1,627.57","1,712",748.323,278.946,0.14,31,0.969,0.840875386
pripend,7,0,"11,985","1,997.50","2,649",793.588,321.174,-0.123,34,1,0.777286018
priant,6,1,"11,839","2,367.80","2,135",874.548,425.103,-0.164,31,0.912,0.299978228
apop,4,1,"2,699",899.667,461,702.29,206.505,0.199,31,0.939,0.446080473
refebs,6,1,"6,023","1,204.60","1,892",738.121,232.566,0.173,33,1,0.318893911
buaint,6,1,"11,787","2,357.40","1,455",771.2,265.236,0.175,35,1,0.809003859
cooray,6,1,"9,686","1,937.20","2,849",697.235,213.055,0.156,34,1,0.982896029
hutting,7,7,"17,495","2,915.83","3,248",787.409,250.246,-0.121,22,0.667,0.616246469
esdings,7,1,"17,480","2,913.33","1,248",697.5,210.508,0.27,34,1,0.408123953
rumblos,7,1,"5,218",869.667,853,764.758,288.681,0.119,33,0.971,0.463159819
mennel,6,3,"9,932","1,986.40","1,582",699.094,157.359,0.319,32,0.97,0.999193939
ifling,6,1,"14,553","2,910.60","1,222",647.242,174.805,0.435,33,1,0.906750529
recipus,7,1,"9,220","1,536.67","2,289",775.593,194.386,-0.162,27,0.818,0.99526688
edasion,7,1,"15,283","2,547.17","1,090",746.618,257.444,0.141,34,1,0.053375297
huests,6,1,"9,753","1,950.60",986,650.759,135.166,0.25,29,0.935,0.229194041
fonducts,8,1,"9,906","1,415.14","2,441",735.032,207.931,0.106,31,0.969,0.38494707
tiery,5,2,"12,826","3,206.50",856,772.909,265.794,-0.045,22,0.647,0.170970268
chrik,5,0,"4,731","1,182.75","1,031",632.188,117.517,0.398,32,0.941,0.645497543
atble,5,1,"8,838","2,209.50",668,795.273,291.732,0.136,33,0.971,0.595192655
sarlock,7,1,"7,044","1,174.00","1,827",742.818,225.879,0.149,33,0.971,0.48759326
dumult,6,1,"2,751",550.2,590,816.621,376.783,-0.076,29,0.853,0.567922125
bellicove,9,1,"14,164","1,770.50","2,434",814.107,269.038,-0.158,28,0.824,0.660901564
sponto,6,0,"10,894","2,178.80","1,108",731.258,210.305,-0.021,31,0.912,0.565909264
temelity,8,1,"14,508","2,072.57","2,119",851.733,379.5,-0.058,30,0.938,0.195674272
razelle,7,1,"10,485","1,747.50","1,353",770.867,287.251,0.085,30,0.882,0.947059965
scabry,6,1,"4,895",979,607,851.781,417.235,-0.157,32,0.914,0.901343449
fuhrek,6,1,"5,272","1,054.40",690,646.029,185.334,0.348,34,0.971,0.384332651
shillac,7,1,"8,913","1,485.50","1,650",720.308,215.266,0.154,26,0.812,0.859887831
padicals,8,1,"11,600","1,657.14","1,876",869.419,281.119,-0.197,31,1,0.414838706
guivers,7,1,"11,218","1,869.67","2,289",776.034,249.461,-0.122,29,0.906,0.196150886
alomalous,9,1,"15,106","1,888.25","1,628",874.333,418.4,-0.338,30,0.938,0.153258482
joses,5,9,"7,509","1,877.25","1,114",803,292.632,-0.11,28,0.848,0.135626709
nollow,6,2,"5,869","1,173.80","1,692",854.3,529.756,0.063,30,0.938,0.149472013
fomrade,7,1,"8,577","1,429.50","1,627",938.387,503.808,-0.122,31,0.939,0.571203421
pegend,6,1,"8,886","1,777.20","1,524",770.219,194.361,0.193,32,0.97,0.471398643
rander,6,9,"17,118","3,423.60","3,183",760.864,196.297,-0.074,22,0.667,0.595840764
fuintets,8,1,"17,513","2,501.86","1,874",892.909,361.628,-0.042,33,0.971,0.190500757
fisco,5,1,"6,909","1,727.25","1,502",894.083,329.192,-0.285,12,0.4,0.283053568
racile,6,1,"10,408","2,081.60","1,798",906.414,421.96,-0.413,29,0.879,0.339671681
elalt,5,1,"7,188","1,797.00","1,022",752.333,184.388,-0.036,33,1,0.687921664
tritical,8,1,"18,675","2,667.86","2,808",888.448,269.661,-0.376,29,0.935,0.045096488
elormity,8,1,"10,791","1,541.57","1,452",721.594,199.395,0.132,32,0.941,0.870967447
lecked,6,7,"11,043","2,208.60","2,082",760.87,162.298,0.04,23,0.719,0.403785898
rasuals,7,2,"9,338","1,556.33","1,258",850.533,294.526,-0.273,30,0.909,0.437640654
efcorted,8,1,"15,559","2,222.71","2,195",760.968,256.393,0.238,31,0.939,0.55515134
godomy,6,1,"2,801",560.2,549,903.71,406.864,-0.363,31,0.969,0.502666066
tinion,6,1,"20,304","4,060.80","1,555",727.091,179.004,0.107,33,1,0.052345181
planofoad,9,0,"9,339","1,167.38","1,526",765.765,241.395,-0.019,34,1,0.060863699
blanned,7,1,"13,808","2,301.33","2,466",920.273,361.514,-0.327,22,0.647,0.454206333
numbled,7,6,"10,412","1,735.33","2,169","1,009.00",338.816,-0.557,18,0.545,0.440004293
gackpedal,9,1,"12,786","1,598.25","2,195",892.031,454.394,-0.171,32,0.97,0.082396327
soluced,7,1,"9,222","1,537.00","1,900",880.935,347.348,-0.129,31,0.969,0.306423893
breiled,7,1,"14,760","2,460.00","2,970",778.742,277.952,0.115,31,0.939,0.405598065
blipover,8,1,"14,133","2,019.00","1,591",904.545,435.421,-0.234,33,1,0.960756578
grenavier,9,1,"19,098","2,387.25","2,055",916.889,396.95,-0.531,27,0.871,0.77643824
horks,5,5,"4,458","1,114.50","1,303",734.931,189.283,0.175,29,0.906,0.730406398
sludding,8,2,"14,265","2,037.86","2,449",879.852,283.132,-0.185,27,0.844,0.171857133
antwers,7,1,"14,728","2,454.67","2,520",792.938,257.138,-0.045,32,1,0.543343921
gontracts,9,1,"16,392","2,049.00","2,840",764.9,296.266,0.202,30,0.882,0.299537191
thrapping,9,0,"17,697","2,212.13","2,469",828.926,312.336,-0.028,27,0.844,0.038661963
olerates,8,1,"27,051","3,864.43","2,532",857.613,178.107,-0.307,31,0.939,0.75406189
fatho,5,1,"7,126","1,781.50","1,234",735.103,274.624,0.324,29,0.935,0.156899986
itfidels,8,1,"8,660","1,237.14",711,866,390.881,-0.211,31,0.969,0.268274172
gewer,5,3,"8,166","2,041.50","1,671",664.344,109.404,0.33,32,0.97,0.600326243
bengths,7,1,"10,017","1,669.50","1,445",871.594,322.099,-0.199,32,0.97,0.023127121
ounwit,6,1,"6,238","1,247.60",775,854.059,316.729,-0.145,34,1,0.649254337
gures,5,1,"10,762","2,690.50","1,622",762.8,257.993,0.082,30,0.882,0.39079254
dests,5,8,"11,661","2,915.25","2,304",842.357,283.211,-0.235,28,0.875,0.700628964
gelented,8,1,"22,075","3,153.57","2,983",773.1,195.092,0.102,30,0.909,0.753343267
igiom,5,1,"5,136","1,284.00",238,796.452,315.088,0.076,31,0.939,0.659886128
bettled,7,3,"11,205","1,867.50","2,721",971.115,430.102,-0.746,26,0.812,0.623955551
alticles,8,1,"18,988","2,712.57","2,031",939.704,384.155,-0.593,27,0.818,0.856812718
graiking,8,1,"16,107","2,301.00","3,150",665.219,204.258,0.299,32,0.97,0.913900872
amkles,6,1,#,#,"1,351",824.29,416.737,-0.012,31,0.939,0.511864768
glattery,8,2,"18,499","2,642.71","2,768",843.03,204.471,-0.15,33,0.971,0.411850635
spiud,5,0,"2,062",515.5,548,747.167,249.77,0.235,30,0.909,0.390765158
rascaps,7,1,"8,421","1,403.50","1,127",833.355,375.304,-0.283,31,0.939,0.986803967
abraid,6,1,"6,456","1,291.20",805,809.375,239.119,-0.275,24,0.774,0.371485095
slutches,8,1,"9,947","1,421.00","1,640",836.25,230.567,-0.165,28,0.848,0.119138827
gensions,8,2,"17,551","2,507.29","1,899",738.903,203.7,0.07,31,0.969,0.095901681
kiner,5,4,"15,758","3,939.50","2,305",747.067,252.464,0.166,30,0.882,0.368099915
dusmy,5,3,"2,453",613.25,456,783.129,392.845,0.066,31,0.912,0.853981203
trewl,5,1,"6,624","1,656.00","1,332",699.879,248.291,0.298,33,0.971,0.102697803
pregs,5,2,"6,593","1,648.25","1,696",731.645,233.693,0.098,31,0.886,0.74608151
dorte,5,1,"8,740","2,185.00","1,966",687.967,208.876,0.342,30,0.882,0.472936647
browting,8,2,"19,008","2,715.43","3,661",776.364,353.658,0.058,33,0.943,0.552706525
arrigns,7,0,"9,335","1,555.83","1,103",832.625,353.987,-0.075,32,0.97,0.146469164
sefine,6,2,"12,448","2,489.60","1,650",728.441,286.884,0.274,34,1,0.387217411
mubby,5,2,980,245,567,769.706,222.661,0.023,34,0.971,0.585683532
cheathe,7,1,"12,334","2,055.67","1,826",802.677,291.13,-0.018,31,0.939,0.106077622
dazid,5,2,"1,609",402.25,372,728.125,267.086,0.2,32,0.941,0.066026923
stuggard,8,1,"9,067","1,295.29","1,402",822.421,302.626,-0.401,19,0.594,0.422856625
culer,5,1,"11,270","2,817.50","2,072",719.138,193.604,0.081,29,0.853,0.176993176
fudden,6,1,"7,389","1,477.80","1,333",706.094,223.113,0.31,32,0.97,0.462715724
roaned,6,4,"12,806","2,561.20","1,936",907.269,305.127,-0.474,26,0.812,0.613568165
dorth,5,3,"5,668","1,417.00","1,603",703,211.999,0.119,32,0.914,0.959633577
subber,6,2,"8,432","1,686.40","2,373",834.667,277.729,-0.285,30,0.882,0.274624804
ringlat,7,1,"20,324","3,387.33","2,013",755.111,196.367,-0.022,27,0.844,0.817581403
unamufed,8,1,"9,763","1,394.71","2,212",912.194,303.331,-0.598,31,0.969,0.398065367
selongs,7,1,"14,032","2,338.67","1,683",714.438,198.472,0.2,32,0.941,0.640930197
felevance,9,1,"13,181","1,647.63","1,654",853.733,308.945,-0.262,30,0.968,0.519363051
quickel,7,2,"6,844","1,140.67","1,068",861.483,251.788,-0.265,29,0.879,0.331597389
mabit,5,1,"5,479","1,369.75","1,247",697.353,167.048,0.359,34,1,0.729537195
appain,6,0,"10,291","2,058.20","1,695",768.714,262.361,0.063,28,0.848,0.579435461
nomma,5,3,"4,078","1,019.50","1,233",811.167,344.137,-0.002,30,0.938,0.580794894
carbled,7,1,"14,111","2,351.83","3,443",904.346,329.542,-0.407,26,0.812,0.772737742
sodent,6,1,"10,752","2,150.40","1,675",765.935,163.016,-0.153,31,0.939,0.706066276
sengry,6,1,"11,148","2,229.60","1,520",766,220.11,0.013,29,0.879,0.439531342
grummer,7,2,"10,327","1,721.17","1,861",856.654,358.878,-0.14,26,0.812,0.499135724
vorm,4,4,"3,603","1,201.00","1,024",785.636,250.207,0.043,33,1,0.420619746
thamp,5,3,"4,291","1,072.75","1,015",736.345,221.851,0.006,29,0.853,0.504494737
dislokes,8,1,"12,151","1,735.86","2,634",829.667,291.929,-0.089,33,1,0.940813454
gestalion,9,1,"24,068","3,008.50","3,023","1,124.21",536.471,-0.817,28,0.824,0.974068084
earmaff,7,1,"7,678","1,279.67","1,520",930.379,293.017,-0.606,29,0.879,0.337573909
havel,5,5,"5,163","1,290.75","1,234",806.143,222.539,0.055,28,0.824,0.449742298
atch,4,3,"5,937","1,979.00",299,712.531,195.86,0.247,32,0.97,0.083753213
frose,5,4,"5,397","1,349.25","1,630",793.88,219.745,0.011,25,0.806,0.943798233
tuckel,6,2,"4,757",951.4,"1,203",705.556,162.146,0.213,27,0.818,0.022013492
bloves,6,3,"9,580","1,916.00","1,716",735.848,243.548,0.238,33,0.971,0.67871366
worps,5,4,"3,666",916.5,"1,083",833.154,228.031,-0.186,26,0.765,0.971621323
galashes,8,1,"14,682","2,097.43","2,038",961.524,340.198,-0.655,21,0.636,0.800068984
amms,4,4,"1,524",508,217,772.344,231.993,0.133,32,1,0.222704202
undimmec,8,1,"9,804","1,400.57","1,970",815.176,273.171,-0.089,34,1,0.803504642
veranpah,8,1,"15,912","2,273.14","1,595",753.059,221.774,0.117,34,1,0.578119653
germeated,9,1,"24,573","3,071.63","3,163",783.333,247.695,-0.15,24,0.75,0.427702661
bailmenz,8,1,"8,810","1,258.57","1,609",708.656,181.935,0.165,32,0.97,0.141208551
ecistle,7,1,"12,448","2,074.67","1,208",818.727,305.024,-0.085,33,0.943,0.319927514
ebciting,8,1,"19,004","2,714.86","2,833",723.647,247.145,0.108,34,1,0.344241879
grolific,8,1,"10,532","1,504.57","2,330",858.516,444.182,-0.152,31,0.969,0.919155576
beggarlan,9,1,"10,895","1,361.88","1,529",941.433,306.857,-0.514,30,0.968,0.212010902
lavilion,8,1,"14,463","2,066.14","2,001",859.03,236.256,-0.352,33,1,0.664625773
derisury,8,1,"17,244","2,463.43","2,589",985.667,409.649,-0.502,33,0.943,0.338169688
pigned,6,2,"8,643","1,728.60","1,561",810.156,336.444,0.046,32,0.941,0.228243257
cartles,7,1,"14,096","2,349.33","3,568",956.875,360.897,-0.593,24,0.706,0.725914978
gairs,5,5,"3,811",952.75,761,718.258,197.783,0.2,31,0.912,0.06931287
unwose,6,1,"5,130","1,026.00","1,254",753.214,234.225,-0.021,28,0.933,0.819916381
loached,7,1,"11,104","1,850.67","2,238",831.556,276.653,-0.439,27,0.794,0.004375491
wimpid,6,1,"3,899",779.8,"1,066",855.357,362.262,-0.212,28,0.848,0.660823486
eaglot,6,1,"5,409","1,081.80",648,810.719,286.541,-0.162,32,0.941,0.489068727
greakable,9,1,"13,152","1,644.00","1,955",762.276,281.895,0.005,29,0.906,0.213205044
treenery,8,1,"19,987","2,855.29","3,376",839.194,387.31,-0.166,31,0.969,0.138578117
pender,6,8,"16,004","3,200.80","3,185",818.955,202.66,-0.439,22,0.667,0.954781827
allained,8,0,"21,274","3,039.14","2,901",922.154,300.415,-0.563,26,0.788,0.91897324
attrove,7,0,"11,126","1,854.33","1,110",735.286,272.174,-0.016,28,0.848,0.094396511
oalis,5,1,"8,991","2,247.75","1,273",919.364,476.935,-0.19,33,0.971,0.025004778
drobate,7,1,"12,251","2,041.83","1,957",721.212,189.655,0.09,33,0.971,0.200082929
sorping,7,2,"15,439","2,573.17","3,125",720.172,237.647,-0.03,29,0.879,0.991995356
leuter,6,3,"15,064","3,012.80","2,411",763.438,243.124,0.06,32,0.914,0.162618528
odacles,7,1,"11,017","1,836.17","1,820",811.514,327.019,-0.003,35,1,0.279439906
houted,6,4,"12,691","2,538.20","2,361",974.607,519.335,-0.348,28,0.848,0.898745108
sporidic,8,1,"12,547","1,792.43","1,805",903,314.675,-0.16,22,0.759,0.129665085
fuack,5,1,"3,252",813,823,726.853,253.281,0.146,34,1,0.025290537
scack,5,5,"5,086","1,271.50","1,026",773.933,203.619,-0.095,30,0.938,0.786856741
shests,6,2,"12,104","2,420.80","1,520",766.125,224.996,0.139,32,0.941,0.666890881
ebince,6,1,"10,780","2,156.00",776,711.939,183.148,0.122,33,0.971,0.094783175
fards,5,7,"4,436","1,109.00","1,534",766.929,274.651,0.082,28,0.875,0.263564715
serfume,7,1,"11,107","1,851.17","1,522",730.273,192.716,0.1,33,1,0.251664907
lightels,8,2,"10,921","1,560.14","1,635",890.29,270.145,-0.304,31,0.939,0.574190065
rebool,6,1,"7,769","1,553.80","1,800",779.212,220.995,0.034,33,1,0.814550017
twarfs,6,1,"3,911",782.2,615,683.906,205.897,0.178,32,0.97,0.471769441
greft,5,3,"5,897","1,474.25","1,226",764.065,248.701,0.27,31,0.969,0.367697353
hasks,5,4,"3,063",765.75,960,851.043,261.04,-0.169,23,0.697,0.387109413
gigglod,7,1,"4,075",679.167,719,826.032,312.155,0.061,31,0.969,0.349805659
scrooner,8,1,"17,785","2,540.71","2,072","1,039.07",391.898,-0.612,28,0.824,0.844545524
thaken,6,1,"7,513","1,502.60","1,662",758.581,278.456,0.12,31,0.969,0.038375804
unsmilung,9,1,"13,396","1,674.50","2,289",983.433,453.749,-0.477,30,0.882,0.469098599
sheerio,7,1,"15,458","2,576.33","3,120",802.065,314.541,-0.003,31,1,0.618799985
aicline,7,1,"15,708","2,618.00","2,311",823.167,302.177,-0.023,30,1,0.373622883
glating,7,3,"22,227","3,704.50","3,491",744.933,216.34,0.061,30,0.882,0.104317056
hivinity,8,1,"14,018","2,002.57","1,811",739.576,187.73,0.098,33,0.971,0.207082616
stelled,7,6,"19,212","3,202.00","2,786",915.083,309.868,-0.333,24,0.706,0.615634096
valif,5,1,"6,792","1,698.00","1,085",769.367,208.356,0.129,30,0.882,0.862862398
volder,6,5,"10,656","2,131.20","2,350",739.5,194.741,0.282,32,0.914,0.1186313
ilterfere,9,1,"23,784","2,973.00","2,830",882.061,317.49,-0.174,33,0.971,0.949910652
heuls,5,2,"3,348",837,559,669.903,131.328,0.395,31,0.969,0.30908746
balign,6,1,"7,651","1,530.20","1,512",817.968,264.145,-0.074,31,0.909,0.986518405
moyeur,6,1,"2,788",557.6,707,735.545,209.458,0.318,33,0.971,0.903063703
veirs,5,5,"4,499","1,124.75",554,793.333,260.099,0.061,21,0.656,0.90388823
menarthe,8,1,"14,024","2,003.43","1,737",878.906,345.5,-0.294,32,0.941,0.594996546
slending,8,3,"22,115","3,159.29","2,838","1,078.19",327.385,-0.834,21,0.677,0.449829939
dingly,6,3,"14,671","2,934.20","1,949",970.562,319.575,-0.716,16,0.552,0.181598078
clypaper,8,1,"12,033","1,719.00","1,121",899.097,313.007,-0.329,31,0.939,0.84067775
guffy,5,2,"1,019",254.75,357,827.867,205.86,-0.15,30,0.909,0.844648705
kilotin,7,1,"15,904","2,650.67","2,300",789,360.364,0.024,30,0.968,0.082547431
finstrel,8,1,"21,080","3,011.43","2,187",730.094,186.967,0.073,32,0.97,0.136140151
reddar,6,1,"12,732","2,546.40","2,157",898.207,306.646,-0.435,29,0.879,0.786419852
slooping,8,5,"15,211","2,173.00","2,661",958.286,322.691,-0.602,14,0.438,0.707318936
chappef,7,1,"6,151","1,025.17","1,356",666.471,198.038,0.418,34,1,0.025595577
fuestion,8,1,"20,757","2,965.29","2,045",732.971,225.105,0.006,34,1,0.69430717
lignpost,8,1,"9,375","1,339.29","1,071",825.97,376.631,-0.024,33,1,0.117390079
frowsed,7,2,"9,835","1,639.17","2,297",778.241,216.486,-0.208,29,0.853,0.34648585
gremieres,9,1,"24,119","3,014.88","3,269",814.5,363.385,-0.174,34,1,0.069569764
currowing,9,1,"16,700","2,087.50","2,884",798.067,322.972,-0.249,30,0.882,0.855783517
wrecber,7,1,"12,984","2,164.00","2,076",765.212,308.833,0.129,33,1,0.201272634
shimble,7,2,"8,293","1,382.17","1,557",888.862,245.411,-0.363,29,0.879,0.49012882
retona,6,1,"13,295","2,659.00","2,380",932.735,489.6,-0.333,34,1,0.161507451
unrealon,8,1,"17,437","2,491.00","2,484",884.25,312.027,-0.172,32,0.97,0.696667452
rowel,5,6,"5,047","1,261.75",843,745.636,205.694,0.021,33,1,0.082359236
sording,7,2,"16,855","2,809.17","3,271",744.036,292.102,0.038,28,0.848,0.09452271
drine,5,5,"12,440","3,110.00","1,495",758.038,205.662,0.09,26,0.788,0.960132774
trocess,7,1,"12,172","2,028.67","2,724",811.206,332.976,0.074,34,1,0.570191112
golemic,7,1,"9,750","1,625.00","1,490",710.333,179.996,0.253,30,0.909,0.710723264
ufionize,8,1,"10,655","1,522.14",783,709.697,216.638,0.153,33,0.971,0.971292799
inforl,6,1,"10,873","2,174.60","1,955",829.206,406.234,-0.022,34,1,0.940384345
erlighten,9,1,"19,033","2,379.13","1,493",806.765,312.431,-0.046,34,1,0.390189248
yearnungs,9,1,"11,754","1,469.25","2,200","1,007.10",384.481,-0.597,31,0.969,0.567667056
glaims,6,1,"4,457",891.4,919,795,227.697,0.085,30,0.909,0.831176731
uncarled,8,1,"16,204","2,314.86","2,930",853.379,275.036,-0.325,29,0.853,0.250222328
bureaug,7,1,"9,014","1,502.33","1,564",758.625,357.165,0.137,32,1,0.49212739
miability,9,2,"11,173","1,396.63","1,642",956.75,360.326,-0.535,28,0.903,0.463140216
addma,5,0,"3,019",754.75,477,720.97,242,0.243,33,0.971,0.716107759
schinter,8,0,"23,950","3,421.43","2,344",835.867,325.118,-0.369,30,0.882,0.949644574
thorifies,9,0,"15,190","1,898.75","2,163",739.848,244.906,0.087,33,0.971,0.486261702
snorls,6,0,"4,418",883.6,668,754.214,249.753,0.1,28,0.824,0.075045138
peems,5,5,"3,741",935.25,833,716.414,120.046,0.179,29,0.853,0.79373239
hodels,6,2,"6,479","1,295.80","1,313",754.097,207.929,0.049,31,0.939,0.567881487
aefated,7,1,"13,996","2,332.67","2,022",773.882,360.993,0.045,34,1,0.034493036
hemoter,7,1,"15,186","2,531.00","2,436",802.258,335.923,-0.062,31,1,0.439162403
sength,6,1,"11,117","2,223.40","1,507",749.679,204.194,0.14,28,0.875,0.246737898
senalize,8,1,"14,186","2,026.57","2,140",850.5,224.641,-0.427,26,0.839,0.018038874
neuran,6,2,"10,371","2,074.20","1,169",862.897,267.065,-0.377,29,0.829,0.847877131
slowning,8,1,"15,082","2,154.57","2,777",902.731,262.641,-0.328,26,0.812,0.773981676
squadroim,9,1,"5,900",737.5,648,874.567,313.577,-0.245,30,0.968,0.271221095
trallion,8,1,"19,341","2,763.00","2,859",844.531,298.134,-0.189,32,0.939,0.592915384
brimitar,8,0,"12,726","1,818.00","2,068",787.212,388.393,0.133,33,0.971,0.485966259
jinds,5,5,"9,116","2,279.00","1,167",652.906,166.753,0.365,32,0.941,0.422992587
geborn,6,1,"5,441","1,088.20",840,619,99.115,0.551,33,1,0.164431515
iolize,6,2,"7,669","1,533.80",886,882.467,364.774,-0.353,30,0.882,0.243692755
elpousal,8,1,"9,835","1,405.00",968,726.588,325.458,0.062,34,1,0.225275511
baults,6,2,"3,657",731.4,934,741.923,192.71,-0.065,26,0.839,0.934157152
fallint,7,1,"17,770","2,961.67","3,247",748.481,209.26,0.051,27,0.844,0.15425629
fraft,5,3,"3,880",970,"1,203",724.188,147.447,0.212,32,0.941,0.330343272
setwixt,7,1,"4,136",689.333,892,724.438,198.718,0.026,32,0.941,0.338408951
chone,5,7,"9,592","2,398.00","1,286",801.9,334.469,-0.102,30,0.909,0.177543472
scrobby,7,1,"4,422",737,749,835.037,267.451,-0.144,27,0.844,0.738592843
snife,5,4,"2,759",689.75,467,872.682,282.051,-0.255,22,0.667,0.143323776
paterways,9,1,"17,229","2,153.63","3,300",974.72,444.637,-0.517,25,0.781,0.48462896
glocked,7,3,"8,879","1,479.83","1,905",746.444,213.313,0.257,27,0.844,0.094283626
goltish,7,2,"10,861","1,810.17","1,844",712.355,187.807,0.176,31,0.939,0.476036142
slimped,7,2,"11,090","1,848.33","1,746",902.4,365.159,-0.238,25,0.735,0.735570415
pracking,8,3,"18,100","2,585.71","4,089",825.16,355.748,-0.202,25,0.781,0.329927986
ubefully,8,1,"6,285",897.857,593,790.294,221.499,0.078,34,0.971,0.493263021
natch,5,8,"7,364","1,841.00","1,155",858.053,279.322,-0.394,19,0.594,0.196402112
noblin,6,1,"11,981","2,396.20","2,014",834.966,283.255,-0.107,29,0.935,0.85080358
downtrund,9,1,"10,427","1,303.38","1,093",988,435.454,-0.576,27,0.844,0.607434035
hackal,6,1,"6,729","1,345.80","1,429",995.333,419.078,-0.358,24,0.75,0.198430292
louches,7,3,"11,343","1,890.50","2,253",827.75,325.992,-0.427,28,0.824,0.469757835
ghists,6,1,"8,891","1,778.20","1,094",814.8,283.742,-0.201,30,0.909,0.008301381
wienegs,7,1,"8,519","1,419.83",873,815.188,339.134,0.033,32,1,0.047917377
schides,7,0,"11,416","1,902.67","1,544",767.621,248.006,0.042,29,0.879,0.861634606
cegalia,7,1,"9,612","1,602.00","1,451",879.774,404.493,-0.024,31,0.939,0.176515854
tapling,7,2,"17,089","2,848.17","2,927",807.161,197.257,-0.048,31,0.912,0.310864526
lonnote,7,1,"12,540","2,090.00","2,161",769.182,323.374,-0.005,33,1,0.89848205
podes,5,9,"8,700","2,175.00","1,443",792.444,267.654,-0.021,27,0.794,0.752276547
irfirm,6,1,"3,150",630,452,898.333,315.622,-0.19,30,0.909,0.702105635
dariner,7,1,"21,705","3,617.50","3,346",794.719,215.814,-0.201,32,0.941,0.350916001
yellep,6,2,"7,623","1,524.60","1,583",758.182,250.383,0.138,33,1,0.644307586
glates,6,2,"15,520","3,104.00","2,406",694.733,156.935,0.262,30,0.909,0.780164082
cills,5,9,"4,450","1,112.50","1,100",723.414,185.811,0.181,29,0.879,0.266505299
sazer,5,5,"7,506","1,876.50","1,767",720.559,197.066,0.201,34,1,0.178410835
legalosm,8,1,"10,368","1,481.14","1,109",717.469,162.688,0.025,32,1,0.115326613
chyme,5,3,"3,649",912.25,810,744.062,260.667,0.064,16,0.571,0.279705061
brank,5,7,"7,454","1,863.50","1,824",940.286,296.528,-0.344,21,0.656,0.442287596
clattest,8,1,"19,900","2,842.86","2,886",843.226,289.581,-0.189,31,0.912,0.950321034
trecious,8,1,"14,169","2,024.14","2,018",946,472.205,-0.634,27,0.818,0.931788961
bropic,6,1,"6,582","1,316.40","1,861",689.586,220.843,0.38,29,0.935,0.816805905
dontrite,8,1,"19,346","2,763.71","3,409",847.484,328.939,-0.318,31,0.939,0.665194334
plogging,8,2,"14,383","2,054.71","2,499",844.826,215.337,-0.309,23,0.697,0.497963842
birn,4,5,"1,898",632.667,580,784.8,274.81,0.093,30,0.909,0.692387654
neally,6,3,"10,315","2,063.00","1,532",824.7,327.852,-0.054,30,0.882,0.233751805
gumdrep,7,1,"6,624","1,104.00",812,889.667,337.829,-0.163,33,0.971,0.804140042
topefuls,8,1,"6,086",869.429,"1,081",768.667,243.692,-0.108,30,0.909,0.571486918
ounside,7,1,"10,532","1,755.33","1,474",854.424,377.008,-0.203,33,0.971,0.443498518
rarren,6,2,"15,011","3,002.20","2,729",724.419,326.045,0.074,31,0.969,0.616727795
newstrint,9,1,"20,736","2,592.00","2,427",980.433,320.211,-0.739,30,0.909,0.315694936
collute,7,3,"11,306","1,884.33","3,385",860.704,279.308,-0.147,27,0.794,0.612126815
snays,5,2,"2,251",562.75,399,789.071,208.518,-0.006,28,0.848,0.110662015
nimp,4,2,"3,282","1,094.00",650,802.227,296.504,-0.043,22,0.647,0.633804178
erony,5,3,"13,067","3,266.75","1,088",790.231,270.042,-0.241,26,0.743,0.605176997
huntry,6,1,"7,486","1,497.20","1,220",810.214,232.267,-0.17,28,0.848,0.935399786
yash,4,10,"2,861",953.667,605,813.259,270.933,-0.093,27,0.844,0.874266708
lutton,6,2,"8,167","1,633.40","1,428",784.176,200.767,0.038,34,0.971,0.70407825
phambled,8,1,"12,153","1,736.14","2,128",781.281,295.412,0.021,32,1,0.200664101
sooled,6,4,"10,907","2,181.40","2,062",802.1,269.824,-0.065,30,0.938,0.485048125
iflaid,6,1,"4,775",955,477,747.97,312.942,0.235,33,0.971,0.152174706
ebuating,8,1,"20,966","2,995.14","2,738",838.031,365.775,-0.112,32,0.97,0.039991187
flougy,6,1,"4,069",813.8,870,710,205.025,0.165,34,1,0.673219083
alber,5,2,"10,149","2,537.25","1,712",773.969,195.332,0.054,32,0.941,0.348120882
preight,7,1,"7,825","1,304.17","1,907",781.844,293.426,0.008,32,0.941,0.805474877
mestowal,8,1,"15,575","2,225.00","2,328",761.029,191.247,-0.042,35,1,0.94053503
poyride,7,1,"7,595","1,265.83","1,318",835.412,277.471,-0.136,34,1,0.538458981
harfing,7,1,"15,858","2,643.00","3,417",764.516,253.811,0.006,31,0.912,0.841366946
splinging,9,2,"26,560","3,320.00","3,152",830.24,263.799,-0.307,25,0.833,0.586561898
tredits,7,1,"15,775","2,629.17","2,065",770.844,274.174,-0.059,32,0.97,0.713385053
