"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","umpire","","w","g","g",1,0.833480330431485,NA,NA,NA
"LDTpractice",2,1,NA,"lower","tricycle","","w","g","g",1,1.11433821720129,NA,NA,NA
"LDTpractice",3,1,NA,"lower","turative","","nw","h","h",1,1.12693866308837,NA,NA,NA
"LDTpractice",4,1,NA,"lower","lumbigo","","nw","h","h",1,0.741544012111262,NA,NA,NA
"LDTpractice",5,1,NA,"lower","overshoot","","w","g","g",1,0.575972432707204,NA,NA,NA
"LDTpractice",6,1,NA,"lower","busted","","w","g","g",1,0.504005459180917,NA,NA,NA
"LDTpractice",7,1,NA,"lower","curlecs","","nw","h","h",1,0.67387347521435,NA,NA,NA
"LDTpractice",8,1,NA,"lower","picture","","w","g","g",1,0.405137009103782,NA,NA,NA
"LDTpractice",9,1,NA,"lower","latador","","nw","h","h",1,0.8510470030742,NA,NA,NA
"LDTpractice",10,1,NA,"lower","grutch","","nw","h","g",0,0.527103107277071,NA,NA,NA
"LDTpractice",11,1,NA,"lower","raestro","","nw","h","h",1,0.608389792541857,NA,NA,NA
"LDTpractice",12,1,NA,"lower","reputable","","w","g","g",1,0.589440376046696,NA,NA,NA
"LDTpractice",13,1,NA,"lower","trotch","","nw","h","h",1,0.700105463474756,NA,NA,NA
"LDTpractice",14,1,NA,"lower","unscrew","","w","g","g",1,0.557586255672504,NA,NA,NA
"LDTpractice",1,2,NA,"upper","slumber","","w","g","g",1,0.518951528851176,NA,NA,NA
"LDTpractice",2,2,NA,"upper","hiring","","w","g","g",1,0.520435692043975,NA,NA,NA
"LDTpractice",3,2,NA,"upper","lurshing","","nw","h","h",1,0.65810035506729,NA,NA,NA
"LDTpractice",4,2,NA,"upper","crinklo","","nw","h","h",1,0.66110460080381,NA,NA,NA
"LDTpractice",5,2,NA,"upper","sponsor","","w","g","g",1,0.546661341591971,NA,NA,NA
"LDTpractice",6,2,NA,"upper","revival","","w","g","g",1,0.555159134208225,NA,NA,NA
"LDTpractice",7,2,NA,"upper","alolition","","nw","h","h",1,0.546317843982251,NA,NA,NA
"LDTpractice",8,2,NA,"upper","infinity","","w","g","g",1,0.522784334258176,NA,NA,NA
"LDTpractice",9,2,NA,"upper","hasking","","nw","h","g",0,0.476118766295258,NA,NA,NA
"LDTpractice",10,2,NA,"upper","julled","","nw","h","h",1,0.686878089181846,NA,NA,NA
"LDTpractice",11,2,NA,"upper","grocus","","nw","h","h",1,0.72197702433914,NA,NA,NA
"LDTpractice",12,2,NA,"upper","summary","","w","g","g",1,0.50728076013911,NA,NA,NA
"LDTpractice",13,2,NA,"upper","treeps","","nw","h","h",1,0.716366664113593,NA,NA,NA
"LDTpractice",14,2,NA,"upper","grimace","","w","g","h",0,0.59018592882785,NA,NA,NA
"experimental",1,1,"hd","lower","snife","nw","nw","h","g",0,1.04908665199764,NA,NA,NA
"experimental",1,2,"hd","lower","trooper","w","w","g","g",1,0.830396699922858,NA,NA,NA
"experimental",1,3,"hd","lower","turntable","w","w","g","g",1,0.844390454192762,NA,NA,NA
"experimental",1,4,"hd","lower","cookbook","w","w","g","g",1,0.753738780680578,NA,NA,NA
"experimental",1,5,"hd","lower","gelented","nw","nw","h","h",1,0.890300206679967,NA,NA,NA
"experimental",1,6,"hd","lower","binder","w","w","g","g",1,0.677613011066569,NA,NA,NA
"experimental",1,7,"hd","lower","located","w","w","g","g",1,0.649582640806329,NA,NA,NA
"experimental",1,8,"hd","lower","grieving","w","w","g","g",1,0.614875498155016,NA,NA,NA
"experimental",1,9,"hd","lower","anterior","w","w","g","g",1,0.876552454661578,NA,NA,NA
"experimental",1,10,"hd","lower","chyme","nw","nw","h","g",0,1.40063290433318,NA,NA,NA
"experimental",1,11,"hd","lower","fabstand","nw","nw","h","h",1,0.607138954175753,NA,NA,NA
"experimental",1,12,"hd","lower","nauling","nw","nw","h","h",1,0.589760631715762,NA,NA,NA
"experimental",1,13,"hd","lower","frigs","nw","nw","h","h",1,0.667849589750404,NA,NA,NA
"experimental",1,14,"hd","lower","dazid","nw","nw","h","h",1,1.06135446662665,NA,NA,NA
