"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","hasking","","nw","h","g",0,0.499451875453815,1,NA,1
"LDTpractice",2,1,NA,"upper","revival","","w","g","g",1,0.691132333828136,1,NA,1
"LDTpractice",3,1,NA,"upper","grutch","","nw","h","h",1,0.701046166708693,1,NA,1
"LDTpractice",4,1,NA,"upper","crinklo","","nw","h","h",1,0.521582781570032,1,NA,1
"LDTpractice",5,1,NA,"upper","reputable","","w","g","g",1,0.497396935941651,1,NA,1
"LDTpractice",6,1,NA,"upper","umpire","","w","g","h",0,0.630654807668179,1,NA,1
"LDTpractice",7,1,NA,"upper","overshoot","","w","g","g",1,0.53910588263534,1,NA,1
"LDTpractice",8,1,NA,"upper","julled","","nw","h","g",0,0.746381632983685,1,NA,1
"LDTpractice",9,1,NA,"upper","lumbigo","","nw","h","h",1,0.612947632791474,1,NA,1
"LDTpractice",10,1,NA,"upper","alolition","","nw","h","g",0,0.539181035244837,1,NA,1
"LDTpractice",11,1,NA,"upper","picture","","w","g","g",1,0.443920175079256,1,NA,1
"LDTpractice",12,1,NA,"upper","sponsor","","w","g","g",1,0.592677991138771,1,NA,1
"LDTpractice",13,1,NA,"upper","busted","","w","g","g",1,0.478430378250778,1,NA,1
"LDTpractice",14,1,NA,"upper","turative","","nw","h","h",1,0.681752844713628,1,NA,1
"LDTpractice",1,2,NA,"lower","curlecs","","nw","h","h",1,0.573683292604983,1,NA,1
"LDTpractice",2,2,NA,"lower","summary","","w","g","g",1,0.556784916901961,1,NA,1
"LDTpractice",3,2,NA,"lower","trotch","","nw","h","h",1,0.492307426873595,1,NA,1
"LDTpractice",4,2,NA,"lower","raestro","","nw","h","g",0,0.526739166816697,1,NA,1
"LDTpractice",5,2,NA,"lower","hiring","","w","g","g",1,0.456002834951505,1,NA,1
"LDTpractice",6,2,NA,"lower","unscrew","","w","g","h",0,0.628359182039276,1,NA,1
"LDTpractice",7,2,NA,"lower","grimace","","w","g","g",1,0.569451580522582,1,NA,1
"LDTpractice",8,2,NA,"lower","treeps","","nw","h","h",1,0.584813800640404,1,NA,1
"LDTpractice",9,2,NA,"lower","lurshing","","nw","h","h",1,0.615212469361722,1,NA,1
"LDTpractice",10,2,NA,"lower","latador","","nw","h","h",1,0.645271462388337,1,NA,1
"LDTpractice",11,2,NA,"lower","slumber","","w","g","g",1,0.5539645482786,1,NA,1
"LDTpractice",12,2,NA,"lower","infinity","","w","g","g",1,0.497473743744195,1,NA,1
"LDTpractice",13,2,NA,"lower","tricycle","","w","g","g",1,0.484869651729241,1,NA,1
"LDTpractice",14,2,NA,"lower","grocus","","nw","h","h",1,0.51176164788194,1,NA,1
"experimental",1,1,"hd","upper","stelled","nw","nw","h","h",1,0.741724498802796,1,NA,1
"experimental",1,2,"hd","upper","bingu","nw","nw","h","h",1,0.839076715754345,1,NA,1
"experimental",1,3,"hd","upper","bother","w","w","g","g",1,0.972430266439915,1,NA,1
"experimental",1,4,"hd","upper","jungle","w","w","g","g",1,0.692519840085879,1,NA,1
"experimental",1,5,"hd","upper","sludding","nw","nw","h","h",1,0.783434769604355,1,NA,1
"experimental",1,6,"hd","upper","etber","nw","nw","h","h",1,0.670907386345789,1,NA,1
"experimental",1,7,"hd","upper","pleamed","nw","nw","h","h",1,0.658983308123425,1,NA,1
"experimental",1,8,"hd","upper","gerby","nw","nw","h","h",1,0.599768806714565,1,NA,1
