"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","revival","","w","g","g",1,0.77152349438984,NA,NA,NA
"LDTpractice",2,1,NA,"upper","reputable","","w","g","g",1,0.704680543334689,NA,NA,NA
"LDTpractice",3,1,NA,"upper","grocus","","nw","h","h",1,0.681049671838991,NA,NA,NA
"LDTpractice",4,1,NA,"upper","raestro","","nw","h","h",1,0.670641454402357,NA,NA,NA
"LDTpractice",5,1,NA,"upper","hiring","","w","g","g",1,0.480935319850687,NA,NA,NA
"LDTpractice",6,1,NA,"upper","infinity","","w","g","g",1,0.508929048024584,NA,NA,NA
"LDTpractice",7,1,NA,"upper","tricycle","","w","g","h",0,0.519716342038009,NA,NA,NA
"LDTpractice",8,1,NA,"upper","latador","","nw","h","h",1,0.681044374709018,NA,NA,NA
"LDTpractice",9,1,NA,"upper","trotch","","nw","h","h",1,0.643585651065223,NA,NA,NA
"LDTpractice",10,1,NA,"upper","umpire","","w","g","g",1,0.552262961806264,NA,NA,NA
"LDTpractice",11,1,NA,"upper","lumbigo","","nw","h","g",0,0.504375825345051,NA,NA,NA
"LDTpractice",12,1,NA,"upper","picture","","w","g","g",1,0.538487087818794,NA,NA,NA
"LDTpractice",13,1,NA,"upper","lurshing","","nw","h","h",1,0.579306184547022,NA,NA,NA
"LDTpractice",14,1,NA,"upper","julled","","nw","h","h",1,0.786042954423465,NA,NA,NA
"LDTpractice",1,2,NA,"lower","sponsor","","w","g","g",1,0.577403187111486,NA,NA,NA
"LDTpractice",2,2,NA,"lower","unscrew","","w","g","g",1,0.504816481145099,NA,NA,NA
"LDTpractice",3,2,NA,"lower","treeps","","nw","h","g",0,0.514945936622098,NA,NA,NA
"LDTpractice",4,2,NA,"lower","alolition","","nw","h","g",0,0.916128787910566,NA,NA,NA
"LDTpractice",5,2,NA,"lower","grimace","","w","g","h",0,0.558185495145153,NA,NA,NA
"LDTpractice",6,2,NA,"lower","overshoot","","w","g","g",1,0.678338529542089,NA,NA,NA
"LDTpractice",7,2,NA,"lower","busted","","w","g","g",1,0.521770308027044,NA,NA,NA
"LDTpractice",8,2,NA,"lower","crinklo","","nw","h","h",1,0.627205570635851,NA,NA,NA
