"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","raestro","","nw","h","h",1,0.641619397030809,NA,NA,NA
"LDTpractice",2,1,NA,"upper","latador","","nw","h","h",1,0.693901175282008,NA,NA,NA
"LDTpractice",3,1,NA,"upper","grimace","","w","g","g",1,0.447269224525371,NA,NA,NA
"LDTpractice",4,1,NA,"upper","julled","","nw","h","g",0,0.378011544466062,NA,NA,NA
"LDTpractice",5,1,NA,"upper","picture","","w","g","g",1,0.404597059463413,NA,NA,NA
"LDTpractice",6,1,NA,"upper","sponsor","","w","g","g",1,0.440733919478589,NA,NA,NA
"LDTpractice",7,1,NA,"upper","lumbigo","","nw","h","h",1,0.526620871944033,NA,NA,NA
"LDTpractice",8,1,NA,"upper","revival","","w","g","h",0,0.35149886468389,NA,NA,NA
"LDTpractice",9,1,NA,"upper","treeps","","nw","h","h",1,0.520214021724314,NA,NA,NA
"LDTpractice",10,1,NA,"upper","unscrew","","w","g","g",1,0.448743475457377,NA,NA,NA
"LDTpractice",11,1,NA,"upper","overshoot","","w","g","g",1,0.405849825132464,NA,NA,NA
"LDTpractice",12,1,NA,"upper","turative","","nw","h","h",1,0.539506083316155,NA,NA,NA
"LDTpractice",13,1,NA,"upper","grutch","","nw","h","g",0,0.380175412439712,NA,NA,NA
"LDTpractice",14,1,NA,"upper","summary","","w","g","g",1,0.393474129183232,NA,NA,NA
"LDTpractice",1,2,NA,"lower","lurshing","","nw","h","h",1,0.523234034524648,NA,NA,NA
"LDTpractice",2,2,NA,"lower","hasking","","nw","h","h",1,0.627913465230449,NA,NA,NA
"LDTpractice",3,2,NA,"lower","hiring","","w","g","g",1,0.610011231938188,NA,NA,NA
"LDTpractice",4,2,NA,"lower","curlecs","","nw","h","h",1,0.49617807026334,NA,NA,NA
"LDTpractice",5,2,NA,"lower","umpire","","w","g","g",1,0.490918043586134,NA,NA,NA
"LDTpractice",6,2,NA,"lower","infinity","","w","g","g",1,0.373576211046384,NA,NA,NA
"LDTpractice",7,2,NA,"lower","crinklo","","nw","h","h",1,0.428179446187642,NA,NA,NA
"LDTpractice",8,2,NA,"lower","reputable","","w","g","g",1,0.489581186353462,NA,NA,NA
"LDTpractice",9,2,NA,"lower","alolition","","nw","h","h",1,0.428303597120248,NA,NA,NA
"LDTpractice",10,2,NA,"lower","tricycle","","w","g","g",1,0.481808344817182,NA,NA,NA
"LDTpractice",11,2,NA,"lower","slumber","","w","g","g",1,0.453246015915283,NA,NA,NA
"LDTpractice",12,2,NA,"lower","grocus","","nw","h","h",1,0.417344546069217,NA,NA,NA
"LDTpractice",13,2,NA,"lower","trotch","","nw","h","h",1,0.534108331870812,NA,NA,NA
"LDTpractice",14,2,NA,"lower","busted","","w","g","g",1,0.390581909075991,NA,NA,NA
"experimental",1,1,"ld","lower","even","w","w","g","g",1,0.627712175186389,NA,NA,NA
"experimental",1,2,"ld","lower","slutches","nw","nw","h","h",1,0.632776871065289,NA,NA,NA
"experimental",1,3,"ld","lower","subber","nw","nw","h","h",1,0.647830916448584,NA,NA,NA
"experimental",1,4,"ld","lower","athcan","nw","nw","h","h",1,0.629269193406799,NA,NA,NA
"experimental",1,5,"ld","lower","icepick","w","w","g","g",1,0.603429908276667,NA,NA,NA
"experimental",1,6,"ld","lower","attrove","nw","nw","h","h",1,0.569291712728955,NA,NA,NA
"experimental",1,7,"ld","lower","grefab","nw","nw","h","h",1,0.473312117183014,NA,NA,NA
"experimental",1,8,"ld","lower","podges","nw","nw","h","h",1,0.453333087103601,NA,NA,NA
