"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","lurshing","","nw","h","h",1,1.34989213543304,NA,NA,NA
"LDTpractice",2,1,NA,"lower","infinity","","w","g","g",1,0.629256980028003,NA,NA,NA
"LDTpractice",3,1,NA,"lower","summary","","w","g","g",1,0.563114427757682,NA,NA,NA
"LDTpractice",4,1,NA,"lower","reputable","","w","g","g",1,0.599643560926779,NA,NA,NA
"LDTpractice",5,1,NA,"lower","overshoot","","w","g","g",1,0.616579529218143,NA,NA,NA
"LDTpractice",6,1,NA,"lower","busted","","w","g","g",1,0.606939003882871,NA,NA,NA
"LDTpractice",7,1,NA,"lower","latador","","nw","h","h",1,0.661053689240362,NA,NA,NA
"LDTpractice",8,1,NA,"lower","hiring","","w","g","g",1,0.529087037772115,NA,NA,NA
"LDTpractice",9,1,NA,"lower","treeps","","nw","h","h",1,0.730458649864886,NA,NA,NA
"LDTpractice",10,1,NA,"lower","turative","","nw","h","h",1,0.874804824961757,NA,NA,NA
"LDTpractice",11,1,NA,"lower","raestro","","nw","h","h",1,0.566200253117131,NA,NA,NA
"LDTpractice",12,1,NA,"lower","julled","","nw","h","h",1,0.741807955157128,NA,NA,NA
"LDTpractice",13,1,NA,"lower","curlecs","","nw","h","h",1,0.639158003003104,NA,NA,NA
"LDTpractice",14,1,NA,"lower","unscrew","","w","g","g",1,0.498993373323174,NA,NA,NA
"LDTpractice",1,2,NA,"upper","grocus","","nw","h","h",1,0.734402034649975,NA,NA,NA
"LDTpractice",2,2,NA,"upper","umpire","","w","g","g",1,1.38295058289805,NA,NA,NA
"LDTpractice",3,2,NA,"upper","revival","","w","g","g",1,0.581482378387591,NA,NA,NA
"LDTpractice",4,2,NA,"upper","picture","","w","g","g",1,0.500729621737264,NA,NA,NA
"LDTpractice",5,2,NA,"upper","slumber","","w","g","g",1,0.606826413364615,NA,NA,NA
"LDTpractice",6,2,NA,"upper","sponsor","","w","g","g",1,0.516787504733657,NA,NA,NA
"LDTpractice",7,2,NA,"upper","lumbigo","","nw","h","h",1,0.542884054877504,NA,NA,NA
"LDTpractice",8,2,NA,"upper","grimace","","w","g","g",1,0.583559416874778,NA,NA,NA
"LDTpractice",9,2,NA,"upper","grutch","","nw","h","h",1,0.622083484980976,NA,NA,NA
"LDTpractice",10,2,NA,"upper","hasking","","nw","h","h",1,0.651260125312547,NA,NA,NA
"LDTpractice",11,2,NA,"upper","trotch","","nw","h","h",1,0.551430973129754,NA,NA,NA
"LDTpractice",12,2,NA,"upper","crinklo","","nw","h","h",1,0.479541474829603,NA,NA,NA
"LDTpractice",13,2,NA,"upper","alolition","","nw","h","h",1,1.5309573081322,NA,NA,NA
"LDTpractice",14,2,NA,"upper","tricycle","","w","g","g",1,0.548324923729524,NA,NA,NA
"experimental",1,1,"ld","upper","movie","w","w","g","g",1,0.817985250505444,NA,NA,NA
"experimental",1,2,"ld","upper","permeable","w","w","g","g",1,1.11266391476238,NA,NA,NA
"experimental",1,3,"ld","upper","lignpost","nw","nw","h","h",1,0.835207373791491,NA,NA,NA
"experimental",1,4,"ld","upper","rawhide","w","w","g","g",1,1.00865200973931,NA,NA,NA
"experimental",1,5,"ld","upper","cayward","nw","nw","h","h",1,0.927363768962096,NA,NA,NA
"experimental",1,6,"ld","upper","attrove","nw","nw","h","h",1,0.849351519835182,NA,NA,NA
"experimental",1,7,"ld","upper","potter","w","w","g","g",1,1.64678518047731,NA,NA,NA
"experimental",1,8,"ld","upper","levels","w","w","g","g",1,0.691228551673703,NA,NA,NA
"experimental",1,9,"ld","upper","burning","w","w","g","g",1,0.750678759803122,NA,NA,NA
"experimental",1,10,"ld","upper","bookend","w","w","g","g",1,0.735241784830578,NA,NA,NA
"experimental",1,11,"ld","upper","railway","w","w","g","g",1,0.680558713553182,NA,NA,NA
"experimental",1,12,"ld","upper","intended","w","w","g","g",1,0.676564014065661,NA,NA,NA
"experimental",1,13,"ld","upper","jungle","w","w","g","g",1,0.520656935957959,NA,NA,NA
"experimental",1,14,"ld","upper","vibrate","w","w","g","g",1,0.570684555343178,NA,NA,NA
"experimental",1,15,"ld","upper","crudios","nw","nw","h","h",1,0.714718314389756,NA,NA,NA
"experimental",1,16,"ld","upper","perform","w","w","g","g",1,0.653443113580579,NA,NA,NA
"experimental",1,17,"ld","upper","formation","w","w","g","g",1,0.825269826811564,NA,NA,NA
"experimental",1,18,"ld","upper","outlaved","nw","nw","h","h",1,0.847222562944808,NA,NA,NA
"experimental",1,19,"ld","upper","smabled","nw","nw","h","h",1,0.740534142867546,NA,NA,NA
"experimental",1,20,"ld","upper","potent","w","w","g","g",1,0.725910657027271,NA,NA,NA
"experimental",1,21,"ld","upper","welayed","nw","nw","h","h",1,0.607956242602086,NA,NA,NA
"experimental",1,22,"ld","upper","bluads","nw","nw","h","h",1,0.606656471107271,NA,NA,NA
"experimental",1,23,"ld","upper","ements","nw","nw","h","h",1,0.741377515267232,NA,NA,NA
"experimental",1,24,"ld","upper","pexts","nw","nw","h","h",1,0.701142252401041,NA,NA,NA
"experimental",1,25,"ld","upper","ladybug","target","target","q","q",1,0.768437876460666,1,NA,NA
"experimental",1,26,"ld","upper","sunhess","aftertar1","nw","h","h",1,0.83328186464496,NA,NA,NA
"experimental",1,27,"ld","upper","sludding","aftertar2","nw","h","h",1,0.854650216751907,NA,NA,NA
"experimental",1,28,"ld","upper","chraps","aftertar3","nw","h","h",1,0.667213567772706,NA,NA,NA
"experimental",1,29,"ld","upper","aicline","nw","nw","h","h",1,0.711252156441333,NA,NA,NA
"experimental",1,30,"ld","upper","heaviest","nw","w","g","q",0,0.737724813247041,NA,NA,NA
"experimental",2,1,"hd","lower","intrude","w","w","g","g",1,1.22746398357413,NA,NA,NA
"experimental",2,2,"hd","lower","mullet","w","w","g","g",1,0.640395894988615,NA,NA,NA
"experimental",2,3,"hd","lower","yellep","nw","nw","h","h",1,0.669799527473515,NA,NA,NA
"experimental",2,4,"hd","lower","dazid","nw","nw","h","h",1,0.919523786345962,NA,NA,NA
"experimental",2,5,"hd","lower","churnad","nw","nw","h","h",1,0.579874416762323,NA,NA,NA
"experimental",2,6,"hd","lower","crundle","nw","nw","h","h",1,0.659935632203997,NA,NA,NA
"experimental",2,7,"hd","lower","retain","w","w","g","g",1,0.488595503185934,NA,NA,NA
"experimental",2,8,"hd","lower","perishing","w","w","g","h",0,0.763993720451253,NA,NA,NA
"experimental",2,9,"hd","lower","telecast","w","w","g","h",0,0.764677111692436,NA,NA,NA
"experimental",2,10,"hd","lower","pariah","w","w","g","g",1,0.948386501375353,NA,NA,NA
"experimental",2,11,"hd","lower","thacked","nw","nw","h","h",1,0.541781090396398,NA,NA,NA
"experimental",2,12,"hd","lower","neliefs","nw","nw","h","h",1,0.567311669437913,NA,NA,NA
"experimental",2,13,"hd","lower","explosion","w","w","g","g",1,0.631176754002809,NA,NA,NA
"experimental",2,14,"hd","lower","brimitar","nw","nw","h","h",1,0.485215674700157,NA,NA,NA
"experimental",2,15,"hd","lower","booster","w","w","g","g",1,0.647375601532985,NA,NA,NA
"experimental",2,16,"hd","lower","usually","w","w","g","g",1,0.588683040048636,NA,NA,NA
"experimental",2,17,"hd","lower","arrested","w","w","g","g",1,0.532569797534961,NA,NA,NA
"experimental",2,18,"hd","lower","populace","w","w","g","h",0,0.775303483227617,NA,NA,NA
"experimental",2,19,"hd","lower","leuter","nw","nw","h","h",1,0.775460747732723,NA,NA,NA
"experimental",2,20,"hd","lower","paranoid","w","w","g","h",0,0.470664935011882,NA,NA,NA
"experimental",2,21,"hd","lower","mabit","nw","nw","h","h",1,0.626396939398546,NA,NA,NA
"experimental",2,22,"hd","lower","eggays","nw","nw","h","h",1,0.720445640072285,NA,NA,NA
"experimental",2,23,"hd","lower","aggepting","nw","nw","h","h",1,0.794507259990496,NA,NA,NA
"experimental",2,24,"hd","lower","gettle","nw","nw","h","h",1,0.881856372099719,NA,NA,NA
"experimental",2,25,"hd","lower","pypecast","nw","nw","h","h",1,0.893928007433715,NA,NA,NA
"experimental",2,26,"hd","lower","lawsuit","w","w","g","g",1,0.737361082487041,NA,NA,NA
"experimental",2,27,"hd","lower","mebase","nw","nw","h","h",1,0.562639012030559,NA,NA,NA
"experimental",2,28,"hd","lower","stalemate","w","w","g","g",1,1.05936422778177,NA,NA,NA
"experimental",2,29,"hd","lower","elephant","target","target","q","g",0,0.471148500721028,NA,NA,NA
"experimental",2,30,"hd","lower","rodeo","aftertar1","w","g","g",1,1.81110455117596,NA,NA,NA
"experimental",3,1,"hd","lower","oppose","w","w","g","g",1,0.841852629142522,NA,NA,NA
"experimental",3,2,"hd","lower","grolific","nw","nw","h","h",1,0.703203292760008,NA,NA,NA
"experimental",3,3,"hd","lower","nameplate","w","w","g","g",1,0.760887972908677,NA,NA,NA
"experimental",3,4,"hd","lower","carnival","w","w","g","g",1,0.609576881986868,NA,NA,NA
"experimental",3,5,"hd","lower","confined","w","w","g","g",1,0.55230905841745,NA,NA,NA
"experimental",3,6,"hd","lower","etuip","nw","nw","h","h",1,0.519840730165015,NA,NA,NA
"experimental",3,7,"hd","lower","glating","nw","nw","h","h",1,1.00178761038114,NA,NA,NA
"experimental",3,8,"hd","lower","official","w","w","g","g",1,0.617136746630422,NA,NA,NA
"experimental",3,9,"hd","lower","alarm","w","w","g","g",1,0.767696831630019,NA,NA,NA
"experimental",3,10,"hd","lower","selongs","nw","nw","h","h",1,0.767794933293771,NA,NA,NA
"experimental",3,11,"hd","lower","deakers","nw","nw","h","h",1,0.759005628482555,NA,NA,NA
"experimental",3,12,"hd","lower","demise","w","w","g","g",1,0.727601929604134,NA,NA,NA
"experimental",3,13,"hd","lower","sengry","nw","nw","h","h",1,0.64958968047722,NA,NA,NA
"experimental",3,14,"hd","lower","elbalm","nw","nw","h","h",1,0.590966544783441,NA,NA,NA
"experimental",3,15,"hd","lower","schides","nw","nw","h","h",1,0.590316357185657,NA,NA,NA
"experimental",3,16,"hd","lower","abstain","w","w","g","g",1,1.24571994740108,NA,NA,NA
"experimental",3,17,"hd","lower","fomes","nw","nw","h","h",1,0.611080403075903,NA,NA,NA
"experimental",3,18,"hd","lower","funtair","nw","nw","h","h",1,0.545732927006611,NA,NA,NA
"experimental",3,19,"hd","lower","pegend","nw","nw","h","h",1,0.739104575324745,NA,NA,NA
"experimental",3,20,"hd","lower","region","w","w","g","g",1,0.68446738543571,NA,NA,NA
"experimental",3,21,"hd","lower","venturous","w","w","g","g",1,0.878919057548046,NA,NA,NA
"experimental",3,22,"hd","lower","chicken","target","target","q","q",1,0.954901055134542,1,NA,NA
"experimental",3,23,"hd","lower","deeper","aftertar1","w","g","g",1,0.67557786602265,NA,NA,NA
"experimental",3,24,"hd","lower","computer","aftertar2","w","g","g",1,0.543617251576507,NA,NA,NA
"experimental",3,25,"hd","lower","moozy","aftertar3","nw","h","h",1,0.881060994048312,NA,NA,NA
"experimental",3,26,"hd","lower","rebool","nw","nw","h","h",1,0.629085528511496,NA,NA,NA
"experimental",3,27,"hd","lower","inducing","nw","w","g","g",1,0.739081936480943,NA,NA,NA
"experimental",3,28,"hd","lower","ronic","w","nw","h","h",1,0.667729129716463,NA,NA,NA
"experimental",3,29,"hd","lower","terrify","nw","w","g","g",1,0.552505261737679,NA,NA,NA
"experimental",3,30,"hd","lower","implode","w","w","g","g",1,0.536245742106985,NA,NA,NA
"experimental",4,1,"hd","lower","unburnid","nw","nw","h","h",1,1.25846954065491,NA,NA,NA
"experimental",4,2,"hd","lower","encounter","w","w","g","g",1,0.583133806605474,NA,NA,NA
"experimental",4,3,"hd","lower","ephically","nw","nw","h","h",1,1.71030736201647,NA,NA,NA
"experimental",4,4,"hd","lower","suburb","w","w","g","g",1,0.504877963518084,NA,NA,NA
"experimental",4,5,"hd","lower","balign","nw","nw","h","h",1,0.947537695654319,NA,NA,NA
"experimental",4,6,"hd","lower","gigglod","nw","nw","h","h",1,0.556972358441271,NA,NA,NA
"experimental",4,7,"hd","lower","retona","nw","nw","h","h",1,0.51769094554038,NA,NA,NA
"experimental",4,8,"hd","lower","sweeping","w","w","g","g",1,0.623669713320851,NA,NA,NA
"experimental",4,9,"hd","lower","boulder","w","w","g","g",1,0.781749818605022,NA,NA,NA
"experimental",4,10,"hd","lower","presently","w","w","g","g",1,0.981806566640444,NA,NA,NA
"experimental",4,11,"hd","lower","slimped","nw","nw","h","h",1,0.87779435977427,NA,NA,NA
"experimental",4,12,"hd","lower","kickoff","w","w","g","g",1,0.592916202032939,NA,NA,NA
"experimental",4,13,"hd","lower","phambled","nw","nw","h","h",1,0.672182643116685,NA,NA,NA
"experimental",4,14,"hd","lower","peahem","nw","nw","h","h",1,0.50018870428903,NA,NA,NA
"experimental",4,15,"hd","lower","outfit","w","w","g","g",1,0.503639165974164,NA,NA,NA
"experimental",4,16,"hd","lower","axis","w","w","g","g",1,0.586316526227165,NA,NA,NA
"experimental",4,17,"hd","lower","vergas","nw","nw","h","h",1,0.681626059595146,NA,NA,NA
"experimental",4,18,"hd","lower","suddenly","w","w","g","g",1,0.645724173322378,NA,NA,NA
"experimental",4,19,"hd","lower","trewl","nw","nw","h","h",1,0.627075199161482,NA,NA,NA
"experimental",4,20,"hd","lower","latirizes","nw","nw","h","h",1,0.48118445120781,NA,NA,NA
"experimental",4,21,"hd","lower","arbitrary","w","w","g","g",1,0.76513592559786,NA,NA,NA
"experimental",4,22,"hd","lower","arrow","w","w","g","g",1,0.685833564217319,NA,NA,NA
"experimental",4,23,"hd","lower","ulcer","w","w","g","g",1,0.630937084104517,NA,NA,NA
"experimental",4,24,"hd","lower","browting","nw","nw","h","h",1,0.652968603404588,NA,NA,NA
"experimental",4,25,"hd","lower","riosk","nw","nw","h","h",1,0.562027763240621,NA,NA,NA
"experimental",4,26,"hd","lower","monkey","target","target","q","g",0,0.619358070005546,1,1,NA
"experimental",4,27,"hd","lower","iflaid","aftertar1","nw","h","h",1,0.641497953918588,NA,NA,NA
"experimental",4,28,"hd","lower","uncle","aftertar2","w","g","g",1,0.72679749600502,NA,NA,NA
"experimental",4,29,"hd","lower","planar","aftertar3","w","g","g",1,0.696906373756065,NA,NA,NA
"experimental",4,30,"hd","lower","robbery","w","w","g","g",1,0.483418452335172,NA,NA,NA
"experimental",5,1,"ld","upper","laser","w","w","g","g",1,0.791433206824877,NA,NA,NA
"experimental",5,2,"ld","upper","ireology","nw","nw","h","h",1,0.870790806984587,NA,NA,NA
"experimental",5,3,"ld","upper","cassette","w","w","g","g",1,0.770824916180572,NA,NA,NA
"experimental",5,4,"ld","upper","allained","nw","nw","h","h",1,0.70691093170899,NA,NA,NA
"experimental",5,5,"ld","upper","pakened","nw","nw","h","h",1,0.693523224908859,NA,NA,NA
"experimental",5,6,"ld","upper","urgency","w","w","g","g",1,0.512960936393938,NA,NA,NA
"experimental",5,7,"ld","upper","army","w","w","g","g",1,0.570734360800998,NA,NA,NA
"experimental",5,8,"ld","upper","sonkers","nw","nw","h","h",1,0.51466217005509,NA,NA,NA
"experimental",5,9,"ld","upper","fullity","nw","nw","h","h",1,0.501359585301543,NA,NA,NA
"experimental",5,10,"ld","upper","wrecber","nw","nw","h","h",1,0.528095758250856,NA,NA,NA
