"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","unscrew","","w","g","g",1,0.80637310934253,NA,NA,NA
"LDTpractice",2,1,NA,"upper","sponsor","","w","g","g",1,0.619058445328847,NA,NA,NA
"LDTpractice",3,1,NA,"upper","reputable","","w","g","h",0,1.10415260284208,NA,NA,NA
"LDTpractice",4,1,NA,"upper","umpire","","w","g","g",1,0.72809471632354,NA,NA,NA
"LDTpractice",5,1,NA,"upper","turative","","nw","h","h",1,0.931631383718923,NA,NA,NA
"LDTpractice",6,1,NA,"upper","hiring","","w","g","g",1,0.521710532251745,NA,NA,NA
"LDTpractice",7,1,NA,"upper","trotch","","nw","h","h",1,0.885249080369249,NA,NA,NA
"LDTpractice",8,1,NA,"upper","revival","","w","g","g",1,0.760085160378367,NA,NA,NA
"LDTpractice",9,1,NA,"upper","lurshing","","nw","h","g",0,0.90316813881509,NA,NA,NA
"LDTpractice",10,1,NA,"upper","alolition","","nw","h","h",1,0.929255970520899,NA,NA,NA
"LDTpractice",11,1,NA,"upper","raestro","","nw","h","h",1,0.610678119817749,NA,NA,NA
"LDTpractice",12,1,NA,"upper","busted","","w","g","g",1,0.656856485409662,NA,NA,NA
"LDTpractice",13,1,NA,"upper","lumbigo","","nw","h","h",1,0.804680689470842,NA,NA,NA
"LDTpractice",14,1,NA,"upper","grocus","","nw","h","h",1,0.52976641128771,NA,NA,NA
"LDTpractice",1,2,NA,"lower","grimace","","w","g","h",0,0.860035930527374,NA,NA,NA
"LDTpractice",2,2,NA,"lower","slumber","","w","g","g",1,0.520039631752297,NA,NA,NA
"LDTpractice",3,2,NA,"lower","summary","","w","g","g",1,0.61659231944941,NA,NA,NA
"LDTpractice",4,2,NA,"lower","picture","","w","g","g",1,0.462433790322393,NA,NA,NA
"LDTpractice",5,2,NA,"lower","hasking","","nw","h","g",0,0.522155156591907,NA,NA,NA
"LDTpractice",6,2,NA,"lower","tricycle","","w","g","g",1,0.89971145731397,NA,NA,NA
"LDTpractice",7,2,NA,"lower","crinklo","","nw","h","h",1,0.783354940824211,NA,NA,NA
"LDTpractice",8,2,NA,"lower","infinity","","w","g","g",1,0.518039649818093,NA,NA,NA
"LDTpractice",9,2,NA,"lower","julled","","nw","h","h",1,0.703443720005453,NA,NA,NA
"LDTpractice",10,2,NA,"lower","latador","","nw","h","g",0,0.761256479192525,NA,NA,NA
"LDTpractice",11,2,NA,"lower","treeps","","nw","h","h",1,0.825355889508501,NA,NA,NA
"LDTpractice",12,2,NA,"lower","overshoot","","w","g","g",1,0.606691067339852,NA,NA,NA
"LDTpractice",13,2,NA,"lower","curlecs","","nw","h","h",1,0.668781225569546,NA,NA,NA
"LDTpractice",14,2,NA,"lower","grutch","","nw","h","h",1,0.744024055777118,NA,NA,NA
"experimental",1,1,"hd","upper","mixture","w","w","g","g",1,0.930226330878213,NA,NA,NA
"experimental",1,2,"hd","upper","lenie","nw","nw","h","h",1,0.955892051104456,NA,NA,NA
"experimental",1,3,"hd","upper","welayed","nw","nw","h","h",1,1.41260341298766,NA,NA,NA
"experimental",1,4,"hd","upper","seldom","w","w","g","g",1,0.98729220055975,NA,NA,NA
"experimental",1,5,"hd","upper","purpose","w","w","g","g",1,0.818679240066558,NA,NA,NA
"experimental",1,6,"hd","upper","natch","nw","nw","h","h",1,1.09679329115897,NA,NA,NA
"experimental",1,7,"hd","upper","perishing","w","w","g","g",1,0.804118535947055,NA,NA,NA
"experimental",1,8,"hd","upper","sequence","w","w","g","g",1,0.713054625783116,NA,NA,NA
"experimental",1,9,"hd","upper","curricula","w","w","g","h",0,1.70081305317581,NA,NA,NA
