"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","umpire","","w","g","g",1,1.56728135980666,NA,NA,NA
"LDTpractice",2,1,NA,"lower","picture","","w","g","g",1,0.750684123951942,NA,NA,NA
"LDTpractice",3,1,NA,"lower","julled","","nw","h","h",1,1.37478415668011,NA,NA,NA
"LDTpractice",4,1,NA,"lower","lurshing","","nw","h","h",1,1.14963536616415,NA,NA,NA
"LDTpractice",5,1,NA,"lower","summary","","w","g","g",1,0.597002001013607,NA,NA,NA
"LDTpractice",6,1,NA,"lower","latador","","nw","h","h",1,0.715995143633336,NA,NA,NA
"LDTpractice",7,1,NA,"lower","infinity","","w","g","g",1,0.589842323679477,NA,NA,NA
"LDTpractice",8,1,NA,"lower","grimace","","w","g","h",0,0.468488665297627,NA,NA,NA
"LDTpractice",9,1,NA,"lower","trotch","","nw","h","h",1,0.975898796226829,NA,NA,NA
"LDTpractice",10,1,NA,"lower","unscrew","","w","g","g",1,1.03751023067161,NA,NA,NA
"LDTpractice",11,1,NA,"lower","treeps","","nw","h","h",1,0.939616717398167,NA,NA,NA
"LDTpractice",12,1,NA,"lower","grutch","","nw","h","h",1,1.33217304944992,NA,NA,NA
"LDTpractice",13,1,NA,"lower","busted","","w","g","g",1,0.645297877956182,NA,NA,NA
"LDTpractice",14,1,NA,"lower","alolition","","nw","h","h",1,0.730062556453049,NA,NA,NA
"LDTpractice",1,2,NA,"upper","reputable","","w","g","h",0,0.987307070288807,NA,NA,NA
"LDTpractice",2,2,NA,"upper","sponsor","","w","g","g",1,0.489963063970208,NA,NA,NA
"LDTpractice",3,2,NA,"upper","curlecs","","nw","h","h",1,0.596720593515784,NA,NA,NA
"LDTpractice",4,2,NA,"upper","lumbigo","","nw","h","h",1,0.892121694050729,NA,NA,NA
"LDTpractice",5,2,NA,"upper","slumber","","w","g","g",1,0.574159629642963,NA,NA,NA
"LDTpractice",6,2,NA,"upper","crinklo","","nw","h","h",1,0.621250087860972,NA,NA,NA
"LDTpractice",7,2,NA,"upper","overshoot","","w","g","g",1,0.962529606185854,NA,NA,NA
"LDTpractice",8,2,NA,"upper","hiring","","w","g","g",1,0.722562871873379,NA,NA,NA
"LDTpractice",9,2,NA,"upper","hasking","","nw","h","h",1,0.708688802551478,NA,NA,NA
"LDTpractice",10,2,NA,"upper","revival","","w","g","g",1,0.614820083603263,NA,NA,NA
"LDTpractice",11,2,NA,"upper","grocus","","nw","h","h",1,0.516260461881757,NA,NA,NA
"LDTpractice",12,2,NA,"upper","raestro","","nw","h","g",0,0.550268765538931,NA,NA,NA
"LDTpractice",13,2,NA,"upper","tricycle","","w","g","g",1,0.670680203475058,NA,NA,NA
"LDTpractice",14,2,NA,"upper","turative","","nw","h","h",1,0.593642653897405,NA,NA,NA
"experimental",1,1,"hd","lower","unspoken","w","w","g","h",0,0.6669000685215,NA,NA,NA
"experimental",1,2,"hd","lower","pender","nw","nw","h","h",1,0.959482124540955,NA,NA,NA
"experimental",1,3,"hd","lower","roodies","nw","nw","h","g",0,1.40723346080631,NA,NA,NA
"experimental",1,4,"hd","lower","regards","w","w","g","g",1,0.685988459270447,NA,NA,NA
"experimental",1,5,"hd","lower","even","w","w","g","g",1,0.633387704845518,NA,NA,NA
"experimental",1,6,"hd","lower","opert","nw","nw","h","h",1,0.759004526305944,NA,NA,NA
"experimental",1,7,"hd","lower","larger","w","w","g","g",1,0.648045411799103,NA,NA,NA
"experimental",1,8,"hd","lower","oleandur","nw","nw","h","h",1,0.709554214961827,NA,NA,NA
"experimental",1,9,"hd","lower","booster","w","w","g","g",1,0.584090015850961,NA,NA,NA
"experimental",1,10,"hd","lower","fards","nw","nw","h","h",1,0.863460469990969,NA,NA,NA
"experimental",1,11,"hd","lower","lizard","target","target","q","q",1,0.506397943943739,1,NA,NA
"experimental",1,12,"hd","lower","thesis","aftertar1","w","g","h",0,0.837898043449968,NA,NA,NA
"experimental",1,13,"hd","lower","incorrect","aftertar2","w","g","g",1,0.683203846216202,NA,NA,NA
"experimental",1,14,"hd","lower","eggays","aftertar3","nw","h","h",1,0.711383034475148,NA,NA,NA
"experimental",1,15,"hd","lower","subber","nw","nw","h","h",1,0.834215905051678,NA,NA,NA
"experimental",1,16,"hd","lower","forecast","nw","w","g","g",1,0.560080298688263,NA,NA,NA
"experimental",1,17,"hd","lower","ounside","w","nw","h","h",1,0.712736440822482,NA,NA,NA
"experimental",1,18,"hd","lower","appain","nw","nw","h","h",1,0.859532678965479,NA,NA,NA
"experimental",1,19,"hd","lower","pircus","nw","nw","h","h",1,0.688265545293689,NA,NA,NA
"experimental",1,20,"hd","lower","tuckel","nw","nw","h","h",1,0.834937964100391,NA,NA,NA
"experimental",1,21,"hd","lower","childhood","nw","w","g","g",1,0.479635064955801,NA,NA,NA
"experimental",1,22,"hd","lower","dusmy","w","nw","h","h",1,0.683982518035918,NA,NA,NA
"experimental",1,23,"hd","lower","geborn","nw","nw","h","h",1,0.687336237635463,NA,NA,NA
"experimental",1,24,"hd","lower","listless","nw","w","g","g",1,0.738740843720734,NA,NA,NA
"experimental",1,25,"hd","lower","antwers","w","nw","h","h",1,0.684026881121099,NA,NA,NA
"experimental",1,26,"hd","lower","daylight","nw","w","g","g",1,0.703541688155383,NA,NA,NA
"experimental",1,27,"hd","lower","category","w","w","g","g",1,0.610126863233745,NA,NA,NA
"experimental",1,28,"hd","lower","bullet","w","w","g","g",1,0.544872025027871,NA,NA,NA
"experimental",1,29,"hd","lower","matter","w","w","g","g",1,0.530220939777792,NA,NA,NA
"experimental",1,30,"hd","lower","begut","w","nw","h","h",1,0.651361389551312,NA,NA,NA
"experimental",2,1,"hd","lower","cogantly","nw","nw","h","h",1,0.680084522813559,NA,NA,NA
"experimental",2,2,"hd","lower","official","w","w","g","g",1,0.420115649700165,NA,NA,NA
"experimental",2,3,"hd","lower","rewrite","w","w","g","g",1,0.602212680969387,NA,NA,NA
"experimental",2,4,"hd","lower","cills","nw","nw","h","h",1,0.6889627748169,NA,NA,NA
"experimental",2,5,"hd","lower","surface","w","w","g","g",1,0.499478291254491,NA,NA,NA
"experimental",2,6,"hd","lower","rational","w","w","g","g",1,0.60661158291623,NA,NA,NA
"experimental",2,7,"hd","lower","bropic","nw","nw","h","h",1,0.589375517331064,NA,NA,NA
"experimental",2,8,"hd","lower","mubby","nw","nw","h","h",1,0.684712523128837,NA,NA,NA
"experimental",2,9,"hd","lower","tenpince","nw","nw","h","h",1,0.712018354330212,NA,NA,NA
"experimental",2,10,"hd","lower","schides","nw","nw","h","h",1,0.65069263195619,NA,NA,NA
"experimental",2,11,"hd","lower","bickering","w","w","g","h",0,1.07152614882216,NA,NA,NA
"experimental",2,12,"hd","lower","angry","w","w","g","g",1,0.475550678092986,NA,NA,NA
"experimental",2,13,"hd","lower","priant","nw","nw","h","h",1,0.631595633458346,NA,NA,NA
"experimental",2,14,"hd","lower","tinion","nw","nw","h","h",1,0.852713670115918,NA,NA,NA
"experimental",2,15,"hd","lower","pived","nw","nw","h","h",1,0.945187598932534,NA,NA,NA
"experimental",2,16,"hd","lower","pretzel","w","w","g","h",0,0.522689471952617,NA,NA,NA
"experimental",2,17,"hd","lower","allained","nw","nw","h","h",1,0.820768582168967,NA,NA,NA
"experimental",2,18,"hd","lower","dredigest","nw","nw","h","h",1,0.826843019109219,NA,NA,NA
"experimental",2,19,"hd","lower","smolvers","nw","nw","h","h",1,1.17690974613652,NA,NA,NA
"experimental",2,20,"hd","lower","bamboo","w","w","g","g",1,0.896569261793047,NA,NA,NA
"experimental",2,21,"hd","lower","arrigns","nw","nw","h","h",1,0.764279102440923,NA,NA,NA
"experimental",2,22,"hd","lower","supplier","w","w","g","g",1,0.556094239000231,NA,NA,NA
"experimental",2,23,"hd","lower","glaims","nw","nw","h","g",0,0.668755374383181,NA,NA,NA
"experimental",2,24,"hd","lower","optional","w","w","g","g",1,0.496767836622894,NA,NA,NA
"experimental",2,25,"hd","lower","uncounted","w","w","g","g",1,0.708090232219547,NA,NA,NA
"experimental",2,26,"hd","lower","dishwater","w","w","g","g",1,0.638826821930707,NA,NA,NA
"experimental",2,27,"hd","lower","pregs","nw","nw","h","h",1,0.820205435622483,NA,NA,NA
"experimental",2,28,"hd","lower","gymnasium","w","w","g","g",1,0.5861452864483,NA,NA,NA
"experimental",2,29,"hd","lower","fracture","w","w","g","g",1,0.561578050255775,NA,NA,NA
"experimental",2,30,"hd","lower","graveyard","w","w","g","g",1,0.546241653617471,NA,NA,NA
"experimental",3,1,"ld","upper","yash","nw","nw","h","g",0,0.675372762139887,NA,NA,NA
"experimental",3,2,"ld","upper","sporidic","nw","nw","h","h",1,1.55949794966727,NA,NA,NA
"experimental",3,3,"ld","upper","rudder","w","w","g","h",0,1.06419563991949,NA,NA,NA
"experimental",3,4,"ld","upper","imprives","nw","nw","h","h",1,0.996942144352943,NA,NA,NA
"experimental",3,5,"ld","upper","goltish","nw","nw","h","h",1,0.884276705328375,NA,NA,NA
"experimental",3,6,"ld","upper","potent","w","w","g","g",1,0.670846399851143,NA,NA,NA
"experimental",3,7,"ld","upper","binder","w","w","g","g",1,0.530723832082003,NA,NA,NA
"experimental",3,8,"ld","upper","ensues","w","w","g","h",0,0.748778827022761,NA,NA,NA
"experimental",3,9,"ld","upper","chyme","nw","nw","h","h",1,1.09418080467731,NA,NA,NA
"experimental",3,10,"ld","upper","pester","w","w","g","g",1,0.777502291370183,NA,NA,NA
"experimental",3,11,"ld","upper","sliding","w","w","g","g",1,0.553535745013505,NA,NA,NA
"experimental",3,12,"ld","upper","sunshine","w","w","g","g",1,0.514273060020059,NA,NA,NA
"experimental",3,13,"ld","upper","geadpan","nw","nw","h","h",1,0.756964484695345,NA,NA,NA
"experimental",3,14,"ld","upper","airbis","nw","nw","h","h",1,0.709657176863402,NA,NA,NA
"experimental",3,15,"ld","upper","borrent","nw","nw","h","h",1,0.727001170162112,NA,NA,NA
"experimental",3,16,"ld","upper","decant","w","w","g","g",1,1.15342775080353,NA,NA,NA
"experimental",3,17,"ld","upper","dileting","nw","nw","h","h",1,0.834175182972103,NA,NA,NA
"experimental",3,18,"ld","upper","managed","w","w","g","g",1,0.639500214252621,NA,NA,NA
"experimental",3,19,"ld","upper","jiggling","w","w","g","g",1,0.692857790272683,NA,NA,NA
"experimental",3,20,"ld","upper","pillage","w","w","g","g",1,0.52025181800127,NA,NA,NA
"experimental",3,21,"ld","upper","unburnid","nw","nw","h","h",1,0.858326929155737,NA,NA,NA
"experimental",3,22,"ld","upper","handbook","w","w","g","g",1,0.679202226456255,NA,NA,NA
"experimental",3,23,"ld","upper","comply","w","w","g","g",1,0.737954225856811,NA,NA,NA
"experimental",3,24,"ld","upper","havel","nw","nw","h","h",1,1.38747134665027,NA,NA,NA
"experimental",3,25,"ld","upper","uncle","w","w","g","g",1,0.546750836540014,NA,NA,NA
"experimental",3,26,"ld","upper","sonnet","w","w","g","g",1,0.540111597627401,NA,NA,NA
"experimental",3,27,"ld","upper","crudios","nw","nw","h","h",1,0.757545178290457,NA,NA,NA
"experimental",3,28,"ld","upper","lancos","nw","nw","h","h",1,0.870257628150284,NA,NA,NA
"experimental",3,29,"ld","upper","impirt","nw","nw","h","h",1,0.85833222605288,NA,NA,NA
"experimental",3,30,"ld","upper","ebciting","nw","nw","h","h",1,0.76712827431038,NA,NA,NA
"experimental",4,1,"ld","upper","clarms","nw","nw","h","g",0,1.27026332262903,NA,NA,NA
"experimental",4,2,"ld","upper","phonology","w","w","g","g",1,1.85050710150972,NA,NA,NA
"experimental",4,3,"ld","upper","intrude","w","w","g","g",1,1.34309068042785,NA,NA,NA
"experimental",4,4,"ld","upper","blocking","w","w","g","g",1,0.64846057118848,NA,NA,NA
"experimental",4,5,"ld","upper","chesume","nw","nw","h","h",1,0.996957703959197,NA,NA,NA
"experimental",4,6,"ld","upper","athcan","nw","nw","h","h",1,0.900234185159206,NA,NA,NA
"experimental",4,7,"ld","upper","nameplate","w","w","g","g",1,0.863092322368175,NA,NA,NA
"experimental",4,8,"ld","upper","crundle","nw","nw","h","h",1,1.06790989264846,NA,NA,NA
"experimental",4,9,"ld","upper","hostade","nw","nw","h","h",1,0.839660318568349,NA,NA,NA
"experimental",4,10,"ld","upper","unbridled","w","w","g","h",0,0.956928265746683,NA,NA,NA
"experimental",4,11,"ld","upper","markot","nw","nw","h","h",1,0.74966906895861,NA,NA,NA
"experimental",4,12,"ld","upper","tinker","w","w","g","g",1,0.982552271336317,NA,NA,NA
"experimental",4,13,"ld","upper","outlaved","nw","nw","h","h",1,1.1087146922946,NA,NA,NA
"experimental",4,14,"ld","upper","saucer","w","w","g","g",1,0.80897792475298,NA,NA,NA
"experimental",4,15,"ld","upper","snorls","nw","nw","h","g",0,0.655192178208381,NA,NA,NA
"experimental",4,16,"ld","upper","omission","w","w","g","g",1,0.628427643328905,NA,NA,NA
"experimental",4,17,"ld","upper","moozy","nw","nw","h","h",1,0.689837456680834,NA,NA,NA
"experimental",4,18,"ld","upper","carony","nw","nw","h","h",1,0.677869346458465,NA,NA,NA
"experimental",4,19,"ld","upper","monopoly","w","w","g","g",1,0.60991564206779,NA,NA,NA
"experimental",4,20,"ld","upper","nores","nw","nw","h","h",1,0.672445789445192,NA,NA,NA
"experimental",4,21,"ld","upper","bellicove","nw","nw","h","h",1,0.732808435335755,NA,NA,NA
