"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","turative","","nw","h","h",1,1.07653053849936,NA,NA,NA
"LDTpractice",2,1,NA,"lower","julled","","nw","h","h",1,0.782553355209529,NA,NA,NA
"LDTpractice",3,1,NA,"lower","summary","","w","g","g",1,0.533936405554414,NA,NA,NA
"LDTpractice",4,1,NA,"lower","lumbigo","","nw","h","h",1,0.589498969726264,NA,NA,NA
"LDTpractice",5,1,NA,"lower","grocus","","nw","h","h",1,0.69348608981818,NA,NA,NA
"LDTpractice",6,1,NA,"lower","umpire","","w","g","h",0,0.639195496216416,NA,NA,NA
"LDTpractice",7,1,NA,"lower","slumber","","w","g","g",1,0.564704586751759,NA,NA,NA
"LDTpractice",8,1,NA,"lower","grutch","","nw","h","h",1,0.667832054197788,NA,NA,NA
"LDTpractice",9,1,NA,"lower","reputable","","w","g","g",1,0.446940696798265,NA,NA,NA
"LDTpractice",10,1,NA,"lower","alolition","","nw","h","h",1,0.667563111521304,NA,NA,NA
"LDTpractice",11,1,NA,"lower","unscrew","","w","g","g",1,0.631031516939402,NA,NA,NA
"LDTpractice",12,1,NA,"lower","crinklo","","nw","h","h",1,0.586552066728473,NA,NA,NA
"LDTpractice",13,1,NA,"lower","picture","","w","g","g",1,0.465721136890352,NA,NA,NA
"LDTpractice",14,1,NA,"lower","hiring","","w","g","g",1,0.645766945555806,NA,NA,NA
"LDTpractice",1,2,NA,"upper","raestro","","nw","h","h",1,0.546186147257686,NA,NA,NA
"LDTpractice",2,2,NA,"upper","curlecs","","nw","h","h",1,0.667635251767933,NA,NA,NA
"LDTpractice",3,2,NA,"upper","grimace","","w","g","g",1,0.509868258610368,NA,NA,NA
"LDTpractice",4,2,NA,"upper","trotch","","nw","h","h",1,0.66382990218699,NA,NA,NA
"LDTpractice",5,2,NA,"upper","treeps","","nw","h","h",1,0.659798472188413,NA,NA,NA
"LDTpractice",6,2,NA,"upper","infinity","","w","g","g",1,0.432118338532746,NA,NA,NA
"LDTpractice",7,2,NA,"upper","overshoot","","w","g","g",1,0.525800498202443,NA,NA,NA
"LDTpractice",8,2,NA,"upper","latador","","nw","h","h",1,0.527055566199124,NA,NA,NA
"LDTpractice",9,2,NA,"upper","busted","","w","g","g",1,0.463991570286453,NA,NA,NA
"LDTpractice",10,2,NA,"upper","hasking","","nw","h","g",0,0.515960076823831,NA,NA,NA
"LDTpractice",11,2,NA,"upper","sponsor","","w","g","g",1,0.50879490096122,NA,NA,NA
"LDTpractice",12,2,NA,"upper","lurshing","","nw","h","h",1,0.543634658679366,NA,NA,NA
"LDTpractice",13,2,NA,"upper","revival","","w","g","g",1,0.480497918091714,NA,NA,NA
"LDTpractice",14,2,NA,"upper","tricycle","","w","g","g",1,0.498900751583278,NA,NA,NA
"experimental",1,1,"ld","upper","shockwave","w","w","g","h",0,0.66624888125807,NA,NA,NA
"experimental",1,2,"ld","upper","kilotin","nw","nw","h","h",1,0.614884968847036,NA,NA,NA
"experimental",1,3,"ld","upper","presently","w","w","g","g",1,0.493539093993604,NA,NA,NA
"experimental",1,4,"ld","upper","slooch","nw","nw","h","h",1,0.664839873090386,NA,NA,NA
"experimental",1,5,"ld","upper","anterior","w","w","g","g",1,0.980473166331649,NA,NA,NA
"experimental",1,6,"ld","upper","esdings","nw","nw","h","h",1,0.548478350974619,NA,NA,NA
"experimental",1,7,"ld","upper","ounside","nw","nw","h","h",1,0.669762347824872,NA,NA,NA
"experimental",1,8,"ld","upper","duplex","w","w","g","g",1,0.553684256970882,NA,NA,NA
"experimental",1,9,"ld","upper","buzzer","w","w","g","g",1,0.47226994857192,NA,NA,NA
"experimental",1,10,"ld","upper","migmarole","nw","nw","h","h",1,0.581193125806749,NA,NA,NA
"experimental",1,11,"ld","upper","urgent","w","w","g","g",1,0.485111000947654,NA,NA,NA
"experimental",1,12,"ld","upper","appain","nw","nw","h","g",0,0.504876360297203,NA,NA,NA
"experimental",1,13,"ld","upper","tragedy","w","w","g","g",1,0.507224707864225,NA,NA,NA
"experimental",1,14,"ld","upper","regards","w","w","g","g",1,0.495002736337483,NA,NA,NA
"experimental",1,15,"ld","upper","smallash","nw","nw","h","h",1,0.569211723282933,NA,NA,NA
"experimental",1,16,"ld","upper","trewl","nw","nw","h","h",1,0.489172315225005,NA,NA,NA
"experimental",1,17,"ld","upper","ausht","nw","nw","h","h",1,0.596507489681244,NA,NA,NA
"experimental",1,18,"ld","upper","define","w","w","g","g",1,0.523912463337183,NA,NA,NA
"experimental",1,19,"ld","upper","sweeping","w","w","g","g",1,0.42985752504319,NA,NA,NA
"experimental",1,20,"ld","upper","shivering","w","w","g","g",1,0.403851237148046,NA,NA,NA
"experimental",1,21,"ld","upper","comply","w","w","g","g",1,0.386458675377071,NA,NA,NA
"experimental",1,22,"ld","upper","riosk","nw","nw","h","h",1,0.569731800816953,NA,NA,NA
"experimental",1,23,"ld","upper","brudent","nw","nw","h","g",0,0.448454444296658,NA,NA,NA
"experimental",1,24,"ld","upper","forbid","w","w","g","h",0,0.422653410583735,NA,NA,NA
"experimental",1,25,"ld","upper","borrent","nw","nw","h","h",1,0.515633481554687,NA,NA,NA
"experimental",1,26,"ld","upper","adok","nw","nw","h","h",1,0.526282845064998,NA,NA,NA
"experimental",1,27,"ld","upper","duries","nw","nw","h","h",1,0.720291661098599,NA,NA,NA
"experimental",1,28,"ld","upper","splinging","nw","nw","h","h",1,0.674294537864625,NA,NA,NA
