"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","infinity","","w","g","g",1,1.06588259743876,NA,NA,NA
"LDTpractice",2,1,NA,"upper","overshoot","","w","g","g",1,0.810736358733266,NA,NA,NA
"LDTpractice",3,1,NA,"upper","grimace","","w","g","g",1,2.14643099544628,NA,NA,NA
"LDTpractice",4,1,NA,"upper","treeps","","nw","h","h",1,0.835246813454432,NA,NA,NA
"LDTpractice",5,1,NA,"upper","turative","","nw","h","g",0,1.58335598849226,NA,NA,NA
"LDTpractice",6,1,NA,"upper","raestro","","nw","h","h",1,0.6228963702888,NA,NA,NA
"LDTpractice",7,1,NA,"upper","sponsor","","w","g","g",1,0.692339678978897,NA,NA,NA
"LDTpractice",8,1,NA,"upper","revival","","w","g","h",0,0.66182559641311,NA,NA,NA
"LDTpractice",9,1,NA,"upper","grutch","","nw","h","g",0,1.41015294674435,NA,NA,NA
"LDTpractice",10,1,NA,"upper","unscrew","","w","g","g",1,1.88037731636723,NA,NA,NA
"LDTpractice",11,1,NA,"upper","hiring","","w","g","g",1,0.683785485918634,NA,NA,NA
"LDTpractice",12,1,NA,"upper","crinklo","","nw","h","h",1,0.662914486441878,NA,NA,NA
"LDTpractice",13,1,NA,"upper","lumbigo","","nw","h","g",0,0.778364972095005,NA,NA,NA
"LDTpractice",14,1,NA,"upper","trotch","","nw","h","g",0,0.73788534400228,NA,NA,NA
"LDTpractice",1,2,NA,"lower","busted","","w","g","g",1,1.02747977300896,NA,NA,NA
"LDTpractice",2,2,NA,"lower","slumber","","w","g","g",1,0.592133322890732,NA,NA,NA
"LDTpractice",3,2,NA,"lower","tricycle","","w","g","g",1,1.08692542236531,NA,NA,NA
"LDTpractice",4,2,NA,"lower","grocus","","nw","h","h",1,0.761717435758328,NA,NA,NA
"LDTpractice",5,2,NA,"lower","julled","","nw","h","h",1,0.760324292161386,NA,NA,NA
"LDTpractice",6,2,NA,"lower","lurshing","","nw","h","g",0,0.96266946135438,NA,NA,NA
"LDTpractice",7,2,NA,"lower","summary","","w","g","g",1,0.57067368052958,NA,NA,NA
"LDTpractice",8,2,NA,"lower","reputable","","w","g","g",1,0.625113878806587,NA,NA,NA
"LDTpractice",9,2,NA,"lower","curlecs","","nw","h","h",1,0.630574551469181,NA,NA,NA
"LDTpractice",10,2,NA,"lower","umpire","","w","g","h",0,0.676114588291966,NA,NA,NA
"LDTpractice",11,2,NA,"lower","picture","","w","g","g",1,0.50245301425457,NA,NA,NA
"LDTpractice",12,2,NA,"lower","hasking","","nw","h","g",0,0.857638749628677,NA,NA,NA
"LDTpractice",13,2,NA,"lower","alolition","","nw","h","h",1,1.51679166666872,NA,NA,NA
"LDTpractice",14,2,NA,"lower","latador","","nw","h","g",0,1.43902161018923,NA,NA,NA
"experimental",1,1,"ld","lower","filter","w","w","g","g",1,0.962347661072272,NA,NA,NA
"experimental",1,2,"ld","lower","filny","nw","nw","h","h",1,1.0911617972597,NA,NA,NA
"experimental",1,3,"ld","lower","peanimate","nw","nw","h","h",1,1.70154243864818,NA,NA,NA
"experimental",1,4,"ld","lower","presently","w","w","g","g",1,0.617223812660086,NA,NA,NA
"experimental",1,5,"ld","lower","birn","nw","nw","h","g",0,0.623110903805355,NA,NA,NA
"experimental",1,6,"ld","lower","strenuous","w","w","g","h",0,1.28512294351822,NA,NA,NA
"experimental",1,7,"ld","lower","flieves","nw","nw","h","h",1,0.86465114854218,NA,NA,NA
"experimental",1,8,"ld","lower","perform","w","w","g","g",1,0.533609042031458,NA,NA,NA
"experimental",1,9,"ld","lower","cessation","w","w","g","h",0,1.71951988416549,NA,NA,NA
"experimental",1,10,"ld","lower","apticle","nw","nw","h","h",1,1.17763171769911,NA,NA,NA
