"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","revival","","w","g","g",1,0.398744499310851,NA,NA,NA
"LDTpractice",2,1,NA,"upper","curlecs","","nw","h","h",1,0.644582394510508,NA,NA,NA
"LDTpractice",3,1,NA,"upper","lumbigo","","nw","h","h",1,0.825577962677926,NA,NA,NA
"LDTpractice",4,1,NA,"upper","turative","","nw","h","g",0,0.557805815245956,NA,NA,NA
"LDTpractice",5,1,NA,"upper","raestro","","nw","h","h",1,0.605351160746068,NA,NA,NA
"LDTpractice",6,1,NA,"upper","reputable","","w","g","g",1,0.443710493855178,NA,NA,NA
"LDTpractice",7,1,NA,"upper","latador","","nw","h","h",1,0.567740836646408,NA,NA,NA
"LDTpractice",8,1,NA,"upper","picture","","w","g","g",1,0.464791913982481,NA,NA,NA
"LDTpractice",9,1,NA,"upper","overshoot","","w","g","g",1,0.516848723869771,NA,NA,NA
"LDTpractice",10,1,NA,"upper","slumber","","w","g","g",1,0.486049794126302,NA,NA,NA
"LDTpractice",11,1,NA,"upper","busted","","w","g","g",1,0.504645886830986,NA,NA,NA
"LDTpractice",12,1,NA,"upper","tricycle","","w","g","g",1,0.490703286603093,NA,NA,NA
"LDTpractice",13,1,NA,"upper","grocus","","nw","h","g",0,0.3574229022488,NA,NA,NA
"LDTpractice",14,1,NA,"upper","julled","","nw","h","g",0,0.517647922504693,NA,NA,NA
"LDTpractice",1,2,NA,"lower","umpire","","w","g","h",0,0.702768598217517,NA,NA,NA
"LDTpractice",2,2,NA,"lower","hasking","","nw","h","g",0,0.463380570989102,NA,NA,NA
"LDTpractice",3,2,NA,"lower","treeps","","nw","h","g",0,0.604944278486073,NA,NA,NA
"LDTpractice",4,2,NA,"lower","trotch","","nw","h","h",1,0.82697705598548,NA,NA,NA
"LDTpractice",5,2,NA,"lower","alolition","","nw","h","g",0,0.791382274124771,NA,NA,NA
"LDTpractice",6,2,NA,"lower","infinity","","w","g","g",1,0.557937580626458,NA,NA,NA
"LDTpractice",7,2,NA,"lower","lurshing","","nw","h","h",1,0.822043148800731,NA,NA,NA
"LDTpractice",8,2,NA,"lower","hiring","","w","g","g",1,0.515555572230369,NA,NA,NA
"LDTpractice",9,2,NA,"lower","grimace","","w","g","g",1,0.549616846721619,NA,NA,NA
"LDTpractice",10,2,NA,"lower","unscrew","","w","g","g",1,0.526266617234796,NA,NA,NA
"LDTpractice",11,2,NA,"lower","summary","","w","g","g",1,0.350935954134911,NA,NA,NA
"LDTpractice",12,2,NA,"lower","sponsor","","w","g","g",1,0.334730172995478,NA,NA,NA
"LDTpractice",13,2,NA,"lower","grutch","","nw","h","g",0,0.367181464098394,NA,NA,NA
"LDTpractice",14,2,NA,"lower","crinklo","","nw","h","h",1,0.598903279285878,NA,NA,NA
"experimental",1,1,"ld","lower","nelvet","nw","nw","h","h",1,0.80424824077636,NA,NA,NA
"experimental",1,2,"ld","lower","recipus","nw","nw","h","h",1,0.874145646113902,NA,NA,NA
"experimental",1,3,"ld","lower","godomy","nw","nw","h","h",1,0.653759601060301,NA,NA,NA
"experimental",1,4,"ld","lower","implode","w","w","g","g",1,0.618686251342297,NA,NA,NA
"experimental",1,5,"ld","lower","cherry","w","w","g","g",1,1.04876219434664,NA,NA,NA
"experimental",1,6,"ld","lower","miurnal","nw","nw","h","h",1,0.84613199159503,NA,NA,NA
"experimental",1,7,"ld","lower","sooled","nw","nw","h","h",1,0.843523174989969,NA,NA,NA
"experimental",1,8,"ld","lower","tibs","nw","nw","h","h",1,0.744926804676652,NA,NA,NA
"experimental",1,9,"ld","lower","haurded","nw","nw","h","h",1,0.690272103529423,NA,NA,NA
"experimental",1,10,"ld","lower","culinary","w","w","g","g",1,0.621776440646499,NA,NA,NA
"experimental",1,11,"ld","lower","arcients","nw","nw","h","h",1,0.898783730808645,NA,NA,NA
"experimental",1,12,"ld","lower","irregular","w","w","g","g",1,0.710132213775069,NA,NA,NA
"experimental",1,13,"ld","lower","tycoon","w","w","g","g",1,1.12883663224056,NA,NA,NA
"experimental",1,14,"ld","lower","combat","w","w","g","g",1,1.15485527087003,NA,NA,NA
"experimental",1,15,"ld","lower","destroy","w","w","g","g",1,0.955502310302108,NA,NA,NA
"experimental",1,16,"ld","lower","corduroy","w","w","g","g",1,1.20432147337124,NA,NA,NA
"experimental",1,17,"ld","lower","mogus","nw","nw","h","h",1,0.714915154501796,NA,NA,NA
"experimental",1,18,"ld","lower","huntry","nw","nw","h","h",1,0.669569755904377,NA,NA,NA
"experimental",1,19,"ld","lower","brighten","w","w","g","g",1,0.728838883340359,NA,NA,NA
"experimental",1,20,"ld","lower","bamps","nw","nw","h","h",1,0.794778369832784,NA,NA,NA
"experimental",1,21,"ld","lower","acting","w","w","g","g",1,0.690055585000664,NA,NA,NA
"experimental",1,22,"ld","lower","clume","nw","nw","h","h",1,0.629485690966249,NA,NA,NA
"experimental",1,23,"ld","lower","cassette","w","w","g","g",1,0.963536338880658,NA,NA,NA
"experimental",1,24,"ld","lower","euphoric","w","w","g","g",1,0.547773460391909,NA,NA,NA
"experimental",1,25,"ld","lower","epic","w","w","g","g",1,0.541774176061153,NA,NA,NA
"experimental",1,26,"ld","lower","eyesight","w","w","g","g",1,0.510500493925065,NA,NA,NA
"experimental",1,27,"ld","lower","whirling","w","w","g","g",1,0.529628944583237,NA,NA,NA
"experimental",1,28,"ld","lower","grolific","nw","nw","h","h",1,0.931680638808757,NA,NA,NA
"experimental",1,29,"ld","lower","hasks","nw","nw","h","h",1,0.708743383642286,NA,NA,NA
"experimental",1,30,"ld","lower","congraks","nw","nw","h","h",1,0.791374328546226,NA,NA,NA
"experimental",2,1,"hd","upper","remain","w","w","g","g",1,0.582986851688474,NA,NA,NA
"experimental",2,2,"hd","upper","apticle","nw","nw","h","h",1,0.655001768376678,NA,NA,NA
"experimental",2,3,"hd","upper","lasprey","nw","nw","h","h",1,0.57965531386435,NA,NA,NA
"experimental",2,4,"hd","upper","aqueduct","w","w","g","h",0,0.497373646125197,NA,NA,NA
"experimental",2,5,"hd","upper","olgies","nw","nw","h","h",1,0.542109216563404,NA,NA,NA
"experimental",2,6,"hd","upper","sarlock","nw","nw","h","h",1,0.503425238654017,NA,NA,NA
"experimental",2,7,"hd","upper","triplet","w","w","g","g",1,0.562127246521413,NA,NA,NA
"experimental",2,8,"hd","upper","fidelity","w","w","g","g",1,0.578797847498208,NA,NA,NA
"experimental",2,9,"hd","upper","vorm","nw","nw","h","g",0,0.538937916047871,NA,NA,NA
"experimental",2,10,"hd","upper","acidic","w","w","g","g",1,0.684283413458616,NA,NA,NA
"experimental",2,11,"hd","upper","halter","w","w","g","g",1,0.679694478865713,NA,NA,NA
"experimental",2,12,"hd","upper","butterfly","target","target","q","g",0,0.467234534211457,NA,NA,NA
"experimental",2,13,"hd","upper","setwixt","aftertar1","nw","h","h",1,0.525313471909612,NA,NA,NA
"experimental",2,14,"hd","upper","strenuous","aftertar2","w","g","g",1,0.721326949540526,NA,NA,NA
"experimental",2,15,"hd","upper","baults","aftertar3","nw","h","h",1,0.55526817869395,NA,NA,NA
"experimental",2,16,"hd","upper","postal","nw","w","g","g",1,0.627946224529296,NA,NA,NA
"experimental",2,17,"hd","upper","pigned","w","nw","h","h",1,0.593987911939621,NA,NA,NA
"experimental",2,18,"hd","upper","topefuls","nw","nw","h","g",0,0.673481655772775,NA,NA,NA
"experimental",2,19,"hd","upper","forfeit","nw","w","g","g",1,0.621498674154282,NA,NA,NA
"experimental",2,20,"hd","upper","removable","w","w","g","g",1,0.555783982854337,NA,NA,NA
"experimental",2,21,"hd","upper","gaining","w","w","g","g",1,0.604243075940758,NA,NA,NA
"experimental",2,22,"hd","upper","obviously","w","w","g","g",1,0.514989114832133,NA,NA,NA
"experimental",2,23,"hd","upper","buaint","w","nw","h","h",1,0.596755641046911,NA,NA,NA
"experimental",2,24,"hd","upper","ebince","nw","nw","h","h",1,0.556068370118737,NA,NA,NA
"experimental",2,25,"hd","upper","actively","nw","w","g","g",1,0.532733038067818,NA,NA,NA
"experimental",2,26,"hd","upper","pripend","w","nw","h","h",1,0.638793338555843,NA,NA,NA
"experimental",2,27,"hd","upper","lofty","nw","w","g","g",1,0.73215883364901,NA,NA,NA
"experimental",2,28,"hd","upper","unwose","w","nw","h","h",1,0.710159361828119,NA,NA,NA
"experimental",2,29,"hd","upper","thorifies","nw","nw","h","h",1,0.7280423338525,NA,NA,NA
"experimental",2,30,"hd","upper","enunciate","nw","w","g","g",1,0.642967444378883,NA,NA,NA
"experimental",3,1,"ld","lower","martial","w","w","g","g",1,0.775427442509681,NA,NA,NA
"experimental",3,2,"ld","lower","ludictous","nw","nw","h","h",1,0.935464084614068,NA,NA,NA
"experimental",3,3,"ld","lower","levels","w","w","g","g",1,0.544771334622055,NA,NA,NA
"experimental",3,4,"ld","lower","slowning","nw","nw","h","h",1,0.769728437066078,NA,NA,NA
"experimental",3,5,"ld","lower","ilterfere","nw","nw","h","h",1,0.65757714677602,NA,NA,NA
"experimental",3,6,"ld","lower","balign","nw","nw","h","h",1,0.606575119774789,NA,NA,NA
"experimental",3,7,"ld","lower","intercede","w","w","g","h",0,0.836702842265368,NA,NA,NA
"experimental",3,8,"ld","lower","mabit","nw","nw","h","h",1,0.610031800810248,NA,NA,NA
"experimental",3,9,"ld","lower","goblet","w","w","g","h",0,0.60872242692858,NA,NA,NA
"experimental",3,10,"ld","lower","mineluyer","nw","nw","h","h",1,0.559509491547942,NA,NA,NA
"experimental",3,11,"ld","lower","overflow","w","w","g","g",1,0.512081344146281,NA,NA,NA
"experimental",3,12,"ld","lower","dreaded","w","w","g","g",1,0.570849565323442,NA,NA,NA
"experimental",3,13,"ld","lower","amidst","w","w","g","g",1,0.6429856531322,NA,NA,NA
