"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"upper","sponsor","","w","g","g",1,0.527058132458478,NA,NA,NA
"LDTpractice",2,1,NA,"upper","turative","","nw","h","h",1,0.772266088053584,NA,NA,NA
"LDTpractice",3,1,NA,"upper","revival","","w","g","g",1,0.534801106434315,NA,NA,NA
"LDTpractice",4,1,NA,"upper","grocus","","nw","h","h",1,0.701906808651984,NA,NA,NA
"LDTpractice",5,1,NA,"upper","summary","","w","g","g",1,0.521122314967215,NA,NA,NA
"LDTpractice",6,1,NA,"upper","julled","","nw","h","h",1,0.665897996164858,NA,NA,NA
"LDTpractice",7,1,NA,"upper","umpire","","w","g","g",1,0.502839756663889,NA,NA,NA
"LDTpractice",8,1,NA,"upper","curlecs","","nw","h","h",1,0.592825718224049,NA,NA,NA
"LDTpractice",9,1,NA,"upper","infinity","","w","g","g",1,0.550180803518742,NA,NA,NA
"LDTpractice",10,1,NA,"upper","alolition","","nw","h","h",1,0.670474597252905,NA,NA,NA
"LDTpractice",11,1,NA,"upper","slumber","","w","g","g",1,0.497708965558559,NA,NA,NA
"LDTpractice",12,1,NA,"upper","trotch","","nw","h","h",1,0.586853981018066,NA,NA,NA
"LDTpractice",13,1,NA,"upper","lumbigo","","nw","h","h",1,0.722562788520008,NA,NA,NA
"LDTpractice",14,1,NA,"upper","picture","","w","g","g",1,0.500552060082555,NA,NA,NA
"LDTpractice",1,2,NA,"lower","unscrew","","w","g","g",1,0.597969489637762,NA,NA,NA
"LDTpractice",2,2,NA,"lower","raestro","","nw","h","h",1,0.580788973718882,NA,NA,NA
"LDTpractice",3,2,NA,"lower","tricycle","","w","g","g",1,0.62015703972429,NA,NA,NA
"LDTpractice",4,2,NA,"lower","crinklo","","nw","h","h",1,0.568092391826212,NA,NA,NA
"LDTpractice",5,2,NA,"lower","hiring","","w","g","g",1,0.48781291814521,NA,NA,NA
"LDTpractice",6,2,NA,"lower","treeps","","nw","h","h",1,0.554432014003396,NA,NA,NA
"LDTpractice",7,2,NA,"lower","busted","","w","g","g",1,0.458513556048274,NA,NA,NA
"LDTpractice",8,2,NA,"lower","latador","","nw","h","h",1,0.622436888050288,NA,NA,NA
"LDTpractice",9,2,NA,"lower","grimace","","w","g","g",1,0.491902036592364,NA,NA,NA
"LDTpractice",10,2,NA,"lower","grutch","","nw","h","g",0,0.814437103457749,NA,NA,NA
"LDTpractice",11,2,NA,"lower","reputable","","w","g","g",1,0.538194769993424,NA,NA,NA
"LDTpractice",12,2,NA,"lower","hasking","","nw","h","h",1,0.475011898204684,NA,NA,NA
"LDTpractice",13,2,NA,"lower","lurshing","","nw","h","h",1,0.551387285348028,NA,NA,NA
"LDTpractice",14,2,NA,"lower","overshoot","","w","g","g",1,0.599352852907032,NA,NA,NA
"experimental",1,1,"ld","lower","fomrade","nw","nw","h","h",1,0.79324594931677,NA,NA,NA
"experimental",1,2,"ld","lower","trocess","nw","nw","h","h",1,0.664459394756705,NA,NA,NA
"experimental",1,3,"ld","lower","roughly","w","w","g","g",1,0.549103210680187,NA,NA,NA
"experimental",1,4,"ld","lower","argue","w","w","g","g",1,0.557285975664854,NA,NA,NA
"experimental",1,5,"ld","lower","mebase","nw","nw","h","h",1,0.613905188627541,NA,NA,NA
"experimental",1,6,"ld","lower","earterner","nw","nw","h","h",1,0.757018901407719,NA,NA,NA
"experimental",1,7,"ld","lower","sefine","nw","nw","h","h",1,0.782424440141767,NA,NA,NA
"experimental",1,8,"ld","lower","tipoff","w","w","g","g",1,0.549515533261001,NA,NA,NA
"experimental",1,9,"ld","lower","tharcely","nw","nw","h","h",1,0.638889349065721,NA,NA,NA
"experimental",1,10,"ld","lower","tritical","nw","nw","h","h",1,0.876192239578813,NA,NA,NA
"experimental",1,11,"ld","lower","showdown","w","w","g","g",1,0.608122105710208,NA,NA,NA
"experimental",1,12,"ld","lower","gigglod","nw","nw","h","h",1,0.718752576503903,NA,NA,NA
"experimental",1,13,"ld","lower","finstrel","nw","nw","h","h",1,0.640865238383412,NA,NA,NA
"experimental",1,14,"ld","lower","dealer","w","w","g","g",1,0.51813946524635,NA,NA,NA
"experimental",1,15,"ld","lower","inside","w","w","g","g",1,0.576197884045541,NA,NA,NA
"experimental",1,16,"ld","lower","mining","w","w","g","g",1,0.664129777811468,NA,NA,NA
"experimental",1,17,"ld","lower","gontracts","nw","nw","h","h",1,0.675842942669988,NA,NA,NA
"experimental",1,18,"ld","lower","suspect","w","w","g","g",1,0.639862503390759,NA,NA,NA
"experimental",1,19,"ld","lower","become","w","w","g","g",1,0.573135346639901,NA,NA,NA
"experimental",1,20,"ld","lower","insertion","w","w","g","g",1,0.637179689481854,NA,NA,NA
"experimental",1,21,"ld","lower","despise","w","w","g","g",1,0.58651410182938,NA,NA,NA
"experimental",1,22,"ld","lower","giving","w","w","g","g",1,0.497844494413584,NA,NA,NA
"experimental",1,23,"ld","lower","clooped","nw","nw","h","h",1,0.645187080837786,NA,NA,NA
"experimental",1,24,"ld","lower","glapula","nw","nw","h","h",1,0.642525697592646,NA,NA,NA
"experimental",1,25,"ld","lower","populace","w","w","g","g",1,0.783073410857469,NA,NA,NA
"experimental",1,26,"ld","lower","sength","nw","nw","h","h",1,0.854958827141672,NA,NA,NA
"experimental",1,27,"ld","lower","subpoena","w","w","g","g",1,0.795488972682506,NA,NA,NA
"experimental",1,28,"ld","lower","rander","nw","nw","h","h",1,0.674866769928485,NA,NA,NA
"experimental",1,29,"ld","lower","pamine","nw","nw","h","h",1,0.685685562435538,NA,NA,NA
"experimental",1,30,"ld","lower","suddenly","w","w","g","g",1,0.521028743125498,NA,NA,NA
"experimental",2,1,"hd","upper","entertain","w","w","g","g",1,0.60410935478285,NA,NA,NA
"experimental",2,2,"hd","upper","unrealon","nw","nw","h","h",1,0.649740137625486,NA,NA,NA
"experimental",2,3,"hd","upper","cassette","w","w","g","g",1,0.799195651430637,NA,NA,NA
"experimental",2,4,"hd","upper","scack","nw","nw","h","h",1,0.718400924932212,NA,NA,NA
"experimental",2,5,"hd","upper","trallion","nw","nw","h","h",1,0.71248684078455,NA,NA,NA
"experimental",2,6,"hd","upper","mortgage","w","w","g","g",1,0.715199235826731,NA,NA,NA
"experimental",2,7,"hd","upper","jinds","nw","nw","h","h",1,0.64584027742967,NA,NA,NA
"experimental",2,8,"hd","upper","peahem","nw","nw","h","h",1,0.635149165522307,NA,NA,NA
"experimental",2,9,"hd","upper","bellicove","nw","nw","h","h",1,0.559551939368248,NA,NA,NA
"experimental",2,10,"hd","upper","undimmec","nw","nw","h","h",1,0.648127370513976,NA,NA,NA
"experimental",2,11,"hd","upper","arranged","w","w","g","g",1,0.541457431390882,NA,NA,NA
"experimental",2,12,"hd","upper","subber","nw","nw","h","h",1,0.71081913728267,NA,NA,NA
"experimental",2,13,"hd","upper","poars","nw","nw","h","h",1,0.617473319172859,NA,NA,NA
"experimental",2,14,"hd","upper","exemplify","w","w","g","g",1,0.654466454870999,NA,NA,NA
"experimental",2,15,"hd","upper","mestowal","nw","nw","h","h",1,0.764197421725839,NA,NA,NA
"experimental",2,16,"hd","upper","handle","w","w","g","g",1,0.508862807881087,NA,NA,NA
"experimental",2,17,"hd","upper","eggays","nw","nw","h","h",1,1.12757386779413,NA,NA,NA
"experimental",2,18,"hd","upper","educate","w","w","g","g",1,0.49661899683997,NA,NA,NA
"experimental",2,19,"hd","upper","serving","w","w","g","g",1,0.484844858758152,NA,NA,NA
"experimental",2,20,"hd","upper","affluent","w","w","g","g",1,0.64737637527287,NA,NA,NA
"experimental",2,21,"hd","upper","misest","nw","nw","h","h",1,0.899389164987952,NA,NA,NA
"experimental",2,22,"hd","upper","gures","nw","nw","h","h",1,0.607042098417878,NA,NA,NA
"experimental",2,23,"hd","upper","jaguar","target","target","q","g",0,0.598401130642742,NA,NA,NA
"experimental",2,24,"hd","upper","blocking","aftertar1","w","g","g",1,1.06183767365292,NA,NA,NA
"experimental",2,25,"hd","upper","slogan","aftertar2","w","g","g",1,0.642359983641654,NA,NA,NA
"experimental",2,26,"hd","upper","planar","aftertar3","w","g","g",1,0.68777011660859,NA,NA,NA
"experimental",2,27,"hd","upper","comment","w","w","g","g",1,0.666315148584545,NA,NA,NA
"experimental",2,28,"hd","upper","chone","w","nw","h","h",1,0.927757631987333,NA,NA,NA
