"procedure","block","trial","PMdemand","context","stim","role","word_type","correct_key","response","correct","reaction_time","pressedQ","pressedQ_blank","pressedQ_fix"
"LDTpractice",1,1,NA,"lower","unscrew","","w","g","g",1,0.987042787572136,NA,NA,NA
"LDTpractice",2,1,NA,"lower","raestro","","nw","h","h",1,0.95319710552576,NA,NA,NA
"LDTpractice",3,1,NA,"lower","grutch","","nw","h","g",0,0.816677635724773,NA,NA,NA
"LDTpractice",4,1,NA,"lower","crinklo","","nw","h","h",1,1.01164301129756,NA,NA,NA
"LDTpractice",5,1,NA,"lower","grocus","","nw","h","h",1,0.77253215694509,NA,NA,NA
"LDTpractice",6,1,NA,"lower","summary","","w","g","h",0,4.66494134288223,NA,NA,NA
"LDTpractice",7,1,NA,"lower","treeps","","nw","h","h",1,0.797666945043602,NA,NA,NA
"LDTpractice",8,1,NA,"lower","busted","","w","g","g",1,0.682663464802317,NA,NA,NA
"LDTpractice",9,1,NA,"lower","infinity","","w","g","g",1,0.510449824985699,NA,NA,NA
"LDTpractice",10,1,NA,"lower","hiring","","w","g","g",1,0.537331681727665,NA,NA,NA
"LDTpractice",11,1,NA,"lower","hasking","","nw","h","g",0,0.721881050922093,NA,NA,NA
"LDTpractice",12,1,NA,"lower","revival","","w","g","g",1,0.714489815596608,NA,NA,NA
"LDTpractice",13,1,NA,"lower","curlecs","","nw","h","h",1,0.893134527388611,NA,NA,NA
"LDTpractice",14,1,NA,"lower","umpire","","w","g","g",1,0.886763824048103,NA,NA,NA
"LDTpractice",1,2,NA,"upper","overshoot","","w","g","g",1,0.889994150362327,NA,NA,NA
"LDTpractice",2,2,NA,"upper","julled","","nw","h","h",1,0.842072009021649,NA,NA,NA
"LDTpractice",3,2,NA,"upper","alolition","","nw","h","h",1,0.798957928578602,NA,NA,NA
"LDTpractice",4,2,NA,"upper","trotch","","nw","h","h",1,0.74279395765916,NA,NA,NA
"LDTpractice",5,2,NA,"upper","turative","","nw","h","h",1,0.727505899616517,NA,NA,NA
"LDTpractice",6,2,NA,"upper","reputable","","w","g","g",1,0.584749744870351,NA,NA,NA
"LDTpractice",7,2,NA,"upper","lumbigo","","nw","h","h",1,0.687545779132051,NA,NA,NA
"LDTpractice",8,2,NA,"upper","tricycle","","w","g","h",0,1.00999856935232,NA,NA,NA
"LDTpractice",9,2,NA,"upper","sponsor","","w","g","g",1,0.630930250743404,NA,NA,NA
"LDTpractice",10,2,NA,"upper","slumber","","w","g","g",1,0.676249597876449,NA,NA,NA
"LDTpractice",11,2,NA,"upper","lurshing","","nw","h","h",1,0.727518275176408,NA,NA,NA
"LDTpractice",12,2,NA,"upper","grimace","","w","g","g",1,0.68075400449743,NA,NA,NA
"LDTpractice",13,2,NA,"upper","latador","","nw","h","h",1,0.899157205465599,NA,NA,NA
"LDTpractice",14,2,NA,"upper","picture","","w","g","g",1,0.49373917975754,NA,NA,NA
"experimental",1,1,"ld","upper","happen","w","w","g","g",1,0.922267832836951,NA,NA,NA
"experimental",1,2,"ld","upper","rewrite","w","w","g","g",1,0.676145763805835,NA,NA,NA
"experimental",1,3,"ld","upper","pakened","nw","nw","h","h",1,1.00023303512717,NA,NA,NA
"experimental",1,4,"ld","upper","argue","w","w","g","g",1,0.831428412828245,NA,NA,NA
"experimental",1,5,"ld","upper","ringlat","nw","nw","h","h",1,0.861431630488369,NA,NA,NA
"experimental",1,6,"ld","upper","publish","w","w","g","g",1,0.69807467488863,NA,NA,NA
