demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,pressedQ_late,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",Female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.8334803304314846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,1.1143382172012934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,1.1269386630883673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.7415440121112624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.5759724327072036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,busted,w,g,lower,g,1,0.5040054591809167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.67387347521435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.4051370091037825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.8510470030741999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,g,0,0.5271031072770711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.6083897925418569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.5894403760466957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,h,1,0.7001054634747561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,unscrew,w,g,lower,g,1,0.5575862556725042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.5189515288511757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,hiring,w,g,upper,g,1,0.520435692043975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,h,1,0.6581003550672904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.6611046008038102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.546661341591971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,g,1,0.5551591342082247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,h,1,0.5463178439822514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.5227843342581764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,hasking,nw,h,upper,g,0,0.47611876629525796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,julled,nw,h,upper,h,1,0.686878089181846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,0.7219770243391395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,summary,w,g,upper,g,1,0.5072807601391105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,treeps,nw,h,upper,h,1,0.7163666641135933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,h,0,0.5901859288278501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,snife,nw,h,lower,,,,,animal,"
q",1,nw,HiDemTar,g,0,1.0490866519976407,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,trooper,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.8303966999228578,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,turntable,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.8443904541927623,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,cookbook,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.7537387806805782,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,gelented,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,0.8903002066799672,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,binder,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.677613011066569,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,located,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.6495826408063294,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,grieving,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.6148754981550155,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,anterior,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.8765524546615779,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,chyme,nw,h,lower,,,,,,,1,nw,HiDemTar,g,0,1.4006329043331789,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,fabstand,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,0.6071389541757526,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,nauling,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,0.5897606317157624,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,frigs,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,0.6678495897504035,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,dazid,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,1.0613544666266534,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,probable,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.628810694834101,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,esdings,nw,h,lower,,,,,,,1,nw,HiDemTar,h,1,0.7636534254561411,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,paranoid,w,g,lower,,,,,,,1,w,HiDemTar,g,1,0.7073647932847962,,,,,,,,,,,,,,,,,,,,303,2023-11-16_15h27.49.986,leap3,2022.2.5,59.98924423594591,
