demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ_late,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,20,0,20,0,,,,,,decant,w,g,upper,,,,,,,1,aftertar1,HiDemTar,h,0,0.6068949312902987,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,21,0,21,0,,,,,,ugifies,nw,h,upper,,,,,,,1,aftertar2,HiDemTar,h,1,0.9170298841781914,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,22,0,22,0,,,,,,derived,w,g,upper,,,,,,,1,aftertar3,HiDemTar,g,1,0.8786534685641527,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,23,0,23,0,,,,,,rualify,nw,h,upper,,,,,,,1,w,HiDemTar,h,1,0.7623085398226976,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,24,0,24,0,,,,,,preserve,w,g,upper,,,,,,,1,nw,HiDemTar,g,1,0.6263865628279746,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,25,0,25,0,,,,,,slooping,nw,h,upper,,,,,,,1,w,HiDemTar,h,1,0.5277243098244071,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,26,0,26,0,,,,,,ifling,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.561075774487108,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,27,0,27,0,,,,,,dredigest,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.6322415019385517,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,28,0,28,0,,,,,,bother,w,g,upper,,,,,,,1,nw,HiDemTar,g,1,0.6694922861643136,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,29,0,29,0,,,,,,module,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.5608681947924197,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,0,0,0,0,,,,,,defensa,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.6097176177427173,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,1,0,1,0,,,,,,metebing,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.48775843577459455,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,2,0,2,0,,,,,,require,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5536548839882016,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,3,0,3,0,,,,,,fuestion,nw,h,lower,,,,,,,3,nw,LoDemNoTar,h,1,0.5615687347017229,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,4,0,4,0,,,,,,colored,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5775013850070536,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,5,0,5,0,,,,,,intersect,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.4729024190455675,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,6,0,6,0,,,,,,single,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.49205073388293386,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,7,0,7,0,,,,,,machinery,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.5103892553597689,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
,,,,,,,,,,,,,,,,,,,,17,0,17,0,8,0,8,0,,,,,,maintain,w,g,lower,,,,,,,3,w,LoDemNoTar,g,1,0.44105168618261814,,,,,,,,,,,,,,,,,,,,302,2023-11-14_10h01.41.368,leap3,2022.2.5,59.93917831064431,
