demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,pressedQ_late,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,1.5672813598066568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.7506841239519417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,1.3747841566801071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,lower,h,1,1.1496353661641479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.5970020010136068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.7159951436333358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,infinity,w,g,lower,g,1,0.589842323679477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,h,0,0.46848866529762745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,2023-11-13_13h08.43.290,leap3,2022.2.5,60.00145016017659,
