demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,blankQResp.rt,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,21,0,21,0,,,,,,bureaug,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.515708998311311,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,22,0,22,0,,,,,,senalize,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,g,0,0.7021618920844048,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,23,0,23,0,,,,,,measure,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.5845403643324971,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,24,0,24,0,,,,,,marinate,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.47177229449152946,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,25,0,25,0,,,,,,robbery,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.4753978210501373,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,26,0,26,0,,,,,,company,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.462760953232646,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,27,0,27,0,,,,,,perishing,w,g,lower,,,,,,,2,w,HiDemNoTar,None,h,0,0.44278165814466774,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,28,0,28,0,,,,,,loneliest,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.5986365801654756,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,29,0,29,0,,,,,,grested,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.7412153421901166,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,0,0,0,0,,,,,,pamine,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.7114294802304357,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,1,0,1,0,,,,,,reconcile,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.5214748797006905,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,2,0,2,0,,,,,,bamps,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.5067880384158343,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,3,0,3,0,,,,,,cavern,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.3647456069011241,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,4,0,4,0,,,,,,disease,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.37984330323524773,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,5,0,5,0,,,,,,imprives,nw,h,upper,,,,,,,4,nw,LoDemTar,None,g,0,0.35521448869258165,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,6,0,6,0,,,,,,cills,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.3872701530344784,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,7,0,7,0,,,,,,deadly,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.48192184790968895,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,8,0,8,0,,,,,,sheepish,w,g,upper,,,,,,,4,w,LoDemTar,None,g,1,0.44552389485761523,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,9,0,9,0,,,,,,grummer,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.498026653425768,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,10,0,10,0,,,,,,aligning,w,g,upper,,,,,,,4,w,LoDemTar,None,h,0,0.5166250637266785,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
,,,,,,,,,,,,,,,,,,,,23,0,23,0,11,0,11,0,,,,,,bengths,nw,h,upper,,,,,,,4,nw,LoDemTar,None,h,1,0.630649205762893,None,,,,,,,,,,,,,,,,,,,,325,2023-11-09_10h53.21.779,leap3,2022.2.5,60.09037840812557,
