demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20", woman ,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,unscrew,w,g,lower,g,1,0.9870427875721361,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.95319710552576,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,g,0,0.8166776357247727,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,lower,h,1,1.011643011297565,,,,,,,,,,,,,,,,,,,,,,,,,,,381,2023-11-16_10h00.49.531,leap3,2022.2.5,60.02065318891152,
