demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18
", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,0.4204095993191004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,h,0,0.5355118280276656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.6334409359842539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,g,0,0.7505763862282038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,sponsor,w,g,lower,g,1,0.6605761209502816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.6824465403333306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,g,0,0.5816659107804298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,hasking,nw,h,lower,g,0,0.7323757875710726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,overshoot,w,g,lower,g,1,0.574393579736352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,unscrew,w,g,lower,g,1,0.6847453853115439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,h,1,0.615272936411202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.4531916845589876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.7611871138215065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.44113904796540737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.4441861640661955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,g,1,0.6019084854051471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,g,0,0.5199445178732276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,h,1,0.4883372103795409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,2023-11-09_09h44.39.653,leap3,2022.2.5,59.993082598239035,
