demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18
", female  ,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,g,0,1.6061858884058893,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,h,1,1.2325160829350352,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,1.063697301200591,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.6520475737052038,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.8766667365562171,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,slumber,w,g,lower,g,1,0.5302243890473619,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,h,1,1.0359050392871723,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.46463164454326034,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.6688463535392657,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,g,1,0.599485048907809,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.4700982583453879,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.7293720847228542,,,,,,,,,,,,,,,,,,,,,,,,,,,339,2023-11-27_14h09.58.703,leap3,2022.2.5,60.094483406985056,
