demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",Female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,g,0,0.4716297256818507,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,h,1,0.8329753540747333,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,slumber,w,g,upper,g,1,0.5425343784445431,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.6304484273132402,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.6106034145341255,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,alolition,nw,h,upper,h,1,0.6976748896267964,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,overshoot,w,g,upper,g,1,0.5243715335964225,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,0.6378389084420633,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.48170617973664775,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,hasking,nw,h,upper,h,1,0.6781321439921157,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.6245563701086212,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,upper,h,1,1.022034343186533,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.49150387263216544,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,summary,w,g,upper,g,1,0.502260676046717,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.648211670370074,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,lower,h,1,0.5409836454055039,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,g,1,0.49381937795260455,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,busted,w,g,lower,g,1,0.5523747794213705,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.568594572978327,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,trotch,nw,h,lower,h,1,0.5270326762547484,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,tricycle,w,g,lower,g,1,0.5525532262690831,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.5212485479569295,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.42667667640489526,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,0.4794068968622014,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,latador,nw,h,lower,h,1,0.483793577644974,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,g,0,0.4540707529667998,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.5381377655576216,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,reputable,w,g,lower,g,1,0.4989655338722514,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,2023-11-17_11h25.40.071,leap3,2022.2.5,60.00653603816614,
