demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,24,0,24,0,,,,,,legalosm,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.635473947506398,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,25,0,25,0,,,,,,oldest,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.7521567475050688,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,26,0,26,0,,,,,,crazy,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5843528737314045,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,27,0,27,0,,,,,,mineluyer,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5662127872928977,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,28,0,28,0,,,,,,afternoon,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5422494723461568,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,29,0,29,0,,,,,,amaze,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.4788646646775305,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,0,0,0,0,,,,,,plunging,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5846598516218364,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,1,0,1,0,,,,,,whirlpool,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.4875484951771796,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,2,0,2,0,,,,,,seartfelt,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.6901734154671431,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,3,0,3,0,,,,,,wrecber,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.789099776186049,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,4,0,4,0,,,,,,chonemic,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5878395056352019,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,5,0,5,0,,,,,,pender,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.6024600588716567,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,6,0,6,0,,,,,,ethical,w,g,upper,,,,,,,1,w,HiDemTar,None,h,0,0.5685179908759892,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,7,0,7,0,,,,,,fracture,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5429005557671189,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,8,0,8,0,,,,,,surround,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.4788845865987241,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,9,0,9,0,,,,,,elpired,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.6273243860341609,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,10,0,10,0,,,,,,beggarlan,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.45543622272089124,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,11,0,11,0,,,,,,grenavier,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.4514509397558868,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,12,0,12,0,,,,,,fards,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5274852402508259,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,13,0,13,0,,,,,,parlayid,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5767668597400188,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,14,0,14,0,,,,,,combat,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5921372002921999,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,15,0,15,0,,,,,,defensa,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.686815369874239,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,16,0,16,0,,,,,,ipiocy,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5854434459470212,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,17,0,17,0,,,,,,knowledge,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.6560888760723174,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,18,0,18,0,,,,,,ebciting,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.6121906936168671,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,19,0,19,0,,,,,,rawhide,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.8411300131119788,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,20,0,20,0,,,,,,recipus,nw,h,upper,,,,,,,1,nw,HiDemTar,None,g,0,0.8458291636779904,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,21,0,21,0,,,,,,caterpillar,target,q,upper,,,,,,,1,target,HiDemTar,None,g,0,0.4905265155248344,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,22,0,22,0,,,,,,achieve,w,g,upper,,,,,,,1,aftertar1,HiDemTar,None,g,1,0.6372207347303629,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,23,0,23,0,,,,,,trophy,w,g,upper,,,,,,,1,aftertar2,HiDemTar,None,g,1,0.681773622520268,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,24,0,24,0,,,,,,stagger,w,g,upper,,,,,,,1,aftertar3,HiDemTar,None,g,1,0.7880037711001933,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,25,0,25,0,,,,,,chyme,nw,h,upper,,,,,,,1,w,HiDemTar,None,g,0,1.0346062588505447,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,26,0,26,0,,,,,,rationale,w,g,upper,,,,,,,1,nw,HiDemTar,None,g,1,0.5431474666111171,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,27,0,27,0,,,,,,handcuff,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.45634840335696936,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,28,0,28,0,,,,,,chrayed,nw,h,upper,,,,,,,1,w,HiDemTar,None,h,1,0.7240741299465299,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,29,0,29,0,,,,,,female,w,g,upper,,,,,,,1,nw,HiDemTar,None,g,1,0.581508269533515,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,0,0,0,0,,,,,,slooping,nw,h,upper,,,,,,,1,nw,HiDemTar,None,g,0,1.0214825640432537,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,1,0,1,0,,,,,,nelvet,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5869110249914229,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,2,0,2,0,,,,,,illness,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.6885727220214903,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,3,0,3,0,,,,,,theles,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5801409031264484,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
