demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,23,0,23,0,,,,,,fragment,w,g,lower,,,,,,,4,nw,LoDemTar,None,g,1,0.6239056545309722,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,24,0,24,0,,,,,,fallacy,w,g,lower,,,,,,,4,w,LoDemTar,None,g,1,0.6539441212080419,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,25,0,25,0,,,,,,stuggard,nw,h,lower,,,,,,,4,w,LoDemTar,None,h,1,1.1777437760028988,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,26,0,26,0,,,,,,slowning,nw,h,lower,,,,,,,4,nw,LoDemTar,None,h,1,0.8336250178981572,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,27,0,27,0,,,,,,overwork,w,g,lower,,,,,,,4,nw,LoDemTar,None,g,1,0.5745722102001309,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,28,0,28,0,,,,,,mebase,nw,h,lower,,,,,,,4,w,LoDemTar,None,h,1,0.5913295510690659,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,29,0,29,0,,,,,,puyer,nw,h,lower,,,,,,,4,nw,LoDemTar,None,h,1,0.5590275719296187,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,gigglod,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5436613792553544,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,0,1,0,,,,,,wrestle,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.6000707410275936,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
