demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
21", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,g,0,0.47981779686233494,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,julled,nw,h,lower,h,1,1.5362053503486095,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,g,0,0.7360330613882979,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,raestro,nw,h,lower,h,1,0.7628894798690453,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,h,1,0.7231365509651368,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.532599995349301,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,2023-11-17_12h23.02.470,leap3,2022.2.5,60.059870830479156,
