demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,0,0,0,0,,,,,,planofoad,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,1.0654810671694577,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,1,0,1,0,,,,,,overflow,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.8064451438840479,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,2,0,2,0,,,,,,snays,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,1.0365172470919788,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,3,0,3,0,,,,,,innocent,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.7532282716128975,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,4,0,4,0,,,,,,erlighten,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.8963969966862351,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,5,0,5,0,,,,,,suspect,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,1.4350970315281302,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,6,0,6,0,,,,,,labitable,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,1.2484418549574912,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,7,0,7,0,,,,,,martial,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.7891852417960763,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,8,0,8,0,,,,,,tritical,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,1.7078692994546145,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,9,0,9,0,,,,,,intercede,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.8779078389052302,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,10,0,10,0,,,,,,region,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.8332874795887619,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,11,0,11,0,,,,,,rearrange,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.6466597819235176,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,12,0,12,0,,,,,,teliever,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.9622682833578438,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,13,0,13,0,,,,,,removable,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.9943825469817966,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,14,0,14,0,,,,,,crimb,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.6890997271984816,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,15,0,15,0,,,,,,treenery,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,1.3238502191379666,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,16,0,16,0,,,,,,gackpedal,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.86930006952025,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,17,0,17,0,,,,,,overwork,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.7443566408473998,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,18,0,18,0,,,,,,tuckel,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.6730591484811157,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,19,0,19,0,,,,,,extend,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.7314390274696052,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,20,0,20,0,,,,,,trooper,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.8213882315903902,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,21,0,21,0,,,,,,tibs,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.6347602028399706,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,22,0,22,0,,,,,,urgent,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.743873281404376,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,23,0,23,0,,,,,,sengry,nw,h,lower,,,,,,,1,nw,HiDemTar,None,h,1,0.8169068943243474,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,24,0,24,0,,,,,,renown,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,1.343052497599274,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,25,0,25,0,,,,,,nameplate,w,g,lower,,,,,,,1,w,HiDemTar,None,g,1,0.7513732970692217,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,26,0,26,0,,,,,,monkey,target,q,lower,,,,,,,1,target,HiDemTar,None,g,0,0.7361689966637641,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,27,0,27,0,,,,,,endgume,nw,h,lower,,,,,,,1,aftertar1,HiDemTar,None,h,1,0.7368301395326853,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,28,0,28,0,,,,,,roodies,nw,h,lower,,,,,,,1,aftertar2,HiDemTar,None,h,1,1.4486003040801734,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,29,0,29,0,,,,,,mebase,nw,h,lower,,,,,,,1,aftertar3,HiDemTar,None,h,1,1.0373426000587642,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,0,0,0,,,,,,mustled,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.9147739224135876,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,1,0,1,0,,,,,,nearsipe,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,1.5566870719194412,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,2,0,2,0,,,,,,antonym,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,1.0756799497175962,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
