demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,hiring,w,g,lower,g,1,0.5964132593944669,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,summary,w,g,lower,g,1,0.48039972968399525,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,h,1,0.44355384167283773,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,lurshing,nw,h,lower,g,0,0.5048649972304702,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,grocus,nw,h,lower,h,1,0.5546616050414741,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,hasking,nw,h,lower,g,0,0.402948344592005,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,treeps,nw,h,lower,g,0,0.4641896444372833,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,grimace,w,g,lower,h,0,0.3888693447224796,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.5072632539086044,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,picture,w,g,lower,g,1,0.4855269808322191,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,turative,nw,h,lower,h,1,0.5042283530347049,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,h,0,0.5382618182338774,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,slumber,w,g,lower,g,1,0.45126574067398906,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,curlecs,nw,h,lower,h,1,0.47171084862202406,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.4829115429893136,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,0.5243741753511131,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,trotch,nw,h,upper,h,1,0.4476193571463227,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.37136974930763245,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,h,1,0.6667291349731386,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,g,0,0.37422421807423234,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.5901206494309008,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,overshoot,w,g,upper,g,1,0.44481885293498635,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.5695570195093751,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,tricycle,w,g,upper,h,0,0.46397080831229687,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,julled,nw,h,upper,h,1,0.4518159758299589,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,g,1,0.5200524129904807,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,busted,w,g,upper,g,1,0.5854327259585261,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.4401544346474111,,,,,,,,,,,,,,,,,,,,,,,,,,,331,2023-11-16_10h48.17.344,leap3,2022.2.5,59.99239310218387,
