demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", Female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,grocus,nw,h,upper,h,1,1.0462479319539852,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.92968754429603,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,g,0,0.6596525486093014,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,g,1,0.6000747306679841,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2023-11-16_16h27.20.073,leap3,2022.2.5,60.020544437665095,
