demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
19", female ,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,infinity,w,g,upper,g,1,1.0658825974387582,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,overshoot,w,g,upper,g,1,0.8107363587332657,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,g,1,2.1464309954462806,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,treeps,nw,h,upper,h,1,0.8352468134544324,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,turative,nw,h,upper,g,0,1.583355988492258,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.6228963702887995,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.6923396789788967,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,h,0,0.6618255964131095,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,grutch,nw,h,upper,g,0,1.410152946744347,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,1.8803773163672304,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,hiring,w,g,upper,g,1,0.6837854859186336,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,upper,h,1,0.6629144864418777,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,g,0,0.7783649720950052,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,2023-11-17_13h24.41.829,leap3,2022.2.5,59.56244725059733,
