demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,pressedQ_late,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
19", female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.8063731093425304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.6190584453288466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,reputable,w,g,upper,h,0,1.1041526028420776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,umpire,w,g,upper,g,1,0.7280947163235396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2023-11-10_13h25.21.151,leap3,2022.2.5,59.995610355266436,
