demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,PM_accuracy,pressedQ,pressedQ_blank,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
22 ",Female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,umpire,w,g,lower,g,1,0.5883593158087024,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,revival,w,g,lower,g,1,0.4899708611173992,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grutch,nw,h,lower,h,1,0.47610469184883186,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,alolition,nw,h,lower,g,0,0.7563173177009048,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,crinklo,nw,h,lower,h,1,0.6949831156421169,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,2023-11-20_13h36.10.656,leap3,2022.2.5,60.03416591635884,
