demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,pressedQ_late,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
18", Female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian or other Pacific Islander,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,White,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,raestro,nw,h,upper,h,1,0.6416193970308086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,latador,nw,h,upper,h,1,0.6939011752820079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,grimace,w,g,upper,g,1,0.4472692245253711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,julled,nw,h,upper,g,0,0.37801154446606233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,picture,w,g,upper,g,1,0.40459705946341273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,sponsor,w,g,upper,g,1,0.4407339194785891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,lumbigo,nw,h,upper,h,1,0.5266208719440328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,revival,w,g,upper,h,0,0.35149886468389013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,treeps,nw,h,upper,h,1,0.5202140217243141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,unscrew,w,g,upper,g,1,0.4487434754573769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,2023-11-20_13h44.37.529,leap3,2022.2.5,59.923521312797305,
